"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,10.326,10.384,0.560115886045387
2010-01-05,10.588,10.772,1.72284644194758
2010-01-06,11.005,11.015,0.0908265213442306
2010-01-07,11.209,11.296,0.773161519662295
2010-01-08,11.355,11.452,0.85061603893541
2010-01-11,11.82,11.84,0.169061707523242
2010-01-12,11.597,11.646,0.421632319408005
2010-01-13,11.364,11.5,1.18964310706787
2010-01-14,11.287,11.325,0.336104723155833
2010-01-15,11.054,11.063,0.0813853596780788
2010-01-18,11.355,11.413,0.509486999297258
2010-01-19,11.277,11.364,0.768517291639075
2010-01-20,11.403,11.423,0.175238762814331
2010-01-21,11.18,11.277,0.86387317985483
2010-01-22,11.073,11.131,0.522428391280849
2010-01-25,11.073,11.131,0.522428391280849
2010-01-26,10.811,10.85,0.360094178477445
2010-01-27,10.675,10.86,1.71813327141861
2010-01-28,10.384,10.627,2.31307410404074
2010-01-29,10.336,10.607,2.58797688965286
2010-02-01,10.355,10.384,0.279666329138338
2010-02-02,10.365,10.384,0.183141356209939
2010-02-03,10.588,10.656,0.640180756919614
2010-02-04,9.85,9.899,0.496227657096557
2010-02-05,9.87,10.064,1.94642319654862
2010-02-08,9.695,9.705,0.103092783505152
2010-02-09,10.141,10.19,0.482022527175245
2010-02-10,10.093,10.141,0.474448947316399
2010-02-11,10.365,10.501,1.30355602415412
2010-02-12,10.404,10.501,0.928007653671366
2010-02-15,10.404,10.501,0.928007653671366
2010-02-16,10.404,10.501,0.928007653671366
2010-02-17,10.53,10.568,0.360223717887954
2010-02-18,10.394,10.666,2.58309591642925
2010-02-19,10.656,10.666,0.0937998311603019
2010-02-22,10.675,10.743,0.634979923428888
2010-02-23,10.52,10.568,0.455235204855843
2010-02-24,10.685,10.743,0.541347769273846
2010-02-25,10.53,10.578,0.45480386583286
2010-02-26,10.316,10.384,0.657004830917871
2010-03-01,10.404,10.481,0.737371319128561
2010-03-02,10.326,10.433,1.03087817332241
2010-03-03,10.171,10.19,0.186631304945731
2010-03-04,9.879,9.899,0.202244918596416
2010-03-05,9.996,10.044,0.479041916167665
2010-03-08,10.044,10.132,0.872323552735916
2010-03-09,9.996,10.074,0.777279521674134
2010-03-10,9.996,10.006,0.0999900009998979
2010-03-11,9.996,10.025,0.28969581938964
2010-03-12,10.122,10.19,0.669554942890898
2010-03-15,10.287,10.365,0.755374782103422
2010-03-16,10.898,10.918,0.183351668500179
2010-03-17,10.869,10.898,0.266458400330775
2010-03-18,10.675,10.695,0.187178287318667
2010-03-19,10.627,10.685,0.544294294294293
2010-03-22,10.588,10.617,0.273520396133003
2010-03-23,10.821,10.966,1.33106898609262
2010-03-24,10.772,10.821,0.453850784976608
2010-03-25,10.607,10.772,1.5435707937696
2010-03-26,10.598,10.724,1.18187787261982
2010-03-29,10.675,10.685,0.0936329588014961
2010-03-30,10.481,10.578,0.921221330547505
2010-03-31,10.345,10.481,1.30605973302602
2010-04-01,10.481,10.51,0.276308894288027
2010-04-02,10.481,10.51,0.276308894288027
2010-04-05,10.404,10.481,0.737371319128561
2010-04-06,10.501,10.568,0.636005505719305
2010-04-07,10.462,10.471,0.085988630392207
2010-04-08,10.462,10.481,0.181444874182306
2010-04-09,10.481,10.501,0.190639595844053
2010-04-12,10.52,10.675,1.46260910592122
2010-04-13,10.481,10.588,1.01571028525321
2010-04-14,10.559,10.617,0.547789950887813
2010-04-15,10.452,10.588,1.29277566539923
2010-04-16,10.588,10.627,0.367664388404445
2010-04-19,10.277,10.287,0.0972573429294064
2010-04-20,10.345,10.452,1.02899456652401
2010-04-21,10.345,10.452,1.02899456652401
2010-04-22,10.248,10.336,0.855033035367285
2010-04-23,10.53,10.568,0.360223717887954
2010-04-26,10.239,10.433,1.87693498452011
2010-04-27,10.287,10.336,0.47519759491829
2010-04-28,10.19,10.229,0.381997159508298
2010-04-29,10.093,10.132,0.385661310259577
2010-04-30,10.025,10.093,0.676011531961424
2010-05-03,10.112,10.161,0.483401568588758
2010-05-04,9.85,9.899,0.496227657096557
2010-05-05,9.753,9.85,0.989644442177213
2010-05-06,9.511,9.608,1.01469742141327
2010-05-07,8.899,8.977,0.872678451555171
2010-05-10,9.074,9.21,1.48763946619997
2010-05-11,8.88,8.987,1.19773884815581
2010-05-12,9.074,9.113,0.428877769835594
2010-05-13,9.132,9.152,0.218770509735283
2010-05-14,8.686,8.734,0.551090700344432
2010-05-17,8.278,8.346,0.81809432146294
2010-05-18,7.919,7.968,0.616856549380001
2010-05-19,7.667,7.812,1.8735060404419
2010-05-20,7.618,7.667,0.641151455675492
2010-05-21,7.715,7.764,0.63311583435623
2010-05-24,7.841,7.9,0.749634711898865
2010-05-25,7.55,7.638,1.15880958651567
2010-05-26,7.764,7.861,1.24159999999999
2010-05-27,8.152,8.201,0.599278419861815
2010-05-28,8.22,8.443,2.67658884954689
2010-05-31,8.346,8.501,1.84009022377871
2010-06-01,8.249,8.482,2.78524893909508
