"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,15.926,16.049,0.769351055512115
2010-01-05,16.221,16.373,0.932686997606928
2010-01-06,16.59,16.602,0.0723065798987735
2010-01-07,16.786,16.823,0.220179118688441
2010-01-08,17.032,17.048,0.0938967136150131
2010-01-11,16.868,17.106,1.40107140754697
2010-01-12,16.958,17.11,0.892332981096636
2010-01-13,17.142,17.261,0.691800133709268
2010-01-14,17.114,17.171,0.332506927227642
2010-01-15,16.827,16.97,0.846228955232696
2010-01-18,16.975,17.093,0.692732182693428
2010-01-19,17.605,17.621,0.0908419917106583
2010-01-20,17.052,17.093,0.240152291697176
2010-01-21,16.442,16.582,0.847868217054267
2010-01-22,16.156,16.193,0.228755139262435
2010-01-25,16.156,16.193,0.228755139262435
2010-01-26,15.869,15.91,0.258032033732971
2010-01-27,15.722,15.755,0.209676906947938
2010-01-28,15.677,15.681,0.0255118311116752
2010-01-29,15.697,15.894,1.24719065556646
2010-02-01,16.373,16.377,0.024427480916017
2010-02-02,16.336,16.373,0.226237427007873
2010-02-03,16.315,16.356,0.250987113954274
2010-02-04,15.415,15.435,0.129659643435989
2010-02-05,15.071,15.14,0.456787262917486
2010-02-08,15.169,15.263,0.617770767613035
2010-02-09,15.701,15.783,0.520899504510221
2010-02-10,15.546,15.599,0.340343554342596
2010-02-11,15.701,15.804,0.653864465957783
2010-02-12,15.505,15.554,0.315528510254673
2010-02-15,15.505,15.554,0.315528510254673
2010-02-16,15.505,15.554,0.315528510254673
2010-02-17,16.09,16.238,0.915614946795346
2010-02-18,16.5,16.541,0.248176507974942
2010-02-19,16.61,16.663,0.318576623688882
2010-02-22,16.405,16.528,0.746971123189491
2010-02-23,16.082,16.152,0.43432400570826
2010-02-24,16.193,16.254,0.375997780996702
2010-02-25,16.221,16.254,0.203233256351047
2010-02-26,16,16.143,0.889773823227456
2010-03-01,16.172,16.176,0.0247310498330517
2010-03-02,16.377,16.475,0.596615122366994
2010-03-03,16.377,16.479,0.620891161431704
2010-03-04,16.508,16.618,0.664130894161682
2010-03-05,17.216,17.257,0.237867316450558
2010-03-08,17.319,17.4,0.46660330078631
2010-03-09,17.626,17.679,0.300240759099262
2010-03-10,17.155,17.192,0.21544821964072
2010-03-11,16.794,16.868,0.439664904046094
2010-03-12,16.684,16.782,0.585669037231811
2010-03-15,16.868,16.909,0.242768747964593
2010-03-16,17.45,17.474,0.137441301110989
2010-03-17,17.388,17.396,0.045998160073592
2010-03-18,17.241,17.433,1.10745803772279
2010-03-19,16.97,17.069,0.581685713446342
2010-03-22,17.257,17.4,0.82523011224282
2010-03-23,17.695,17.81,0.647796085058434
2010-03-24,17.572,17.605,0.187622594308788
2010-03-25,17.278,17.413,0.778299847222632
2010-03-26,17.4,17.478,0.447273352829881
2010-03-29,17.875,17.949,0.41313086199197
2010-03-30,18.137,18.17,0.181783127220653
2010-03-31,17.81,17.994,1.02781812088035
2010-04-01,18.178,18.293,0.630638041183397
2010-04-02,18.178,18.293,0.630638041183397
2010-04-05,18.137,18.26,0.675879880209913
2010-04-06,18.26,18.301,0.224282705615256
2010-04-07,18.182,18.219,0.203291118375883
2010-04-08,18.395,18.444,0.266022421889842
2010-04-09,18.465,18.522,0.308216400356875
2010-04-12,18.264,18.289,0.136787678165962
2010-04-13,18.485,18.506,0.113541131626616
2010-04-14,18.35,18.444,0.510952872750979
2010-04-15,18.293,18.424,0.71356592314187
2010-04-16,18.105,18.109,0.0220909040702565
2010-04-19,17.691,17.785,0.529935731198564
2010-04-20,17.372,17.4,0.161049119981587
2010-04-21,17.372,17.4,0.161049119981587
2010-04-22,17.388,17.392,0.023001725129372
2010-04-23,17.298,17.359,0.352021236691021
2010-04-26,17.142,17.196,0.314520356456416
2010-04-27,16.377,16.41,0.201299295452474
2010-04-28,16.184,16.356,1.05716041794715
2010-04-29,16.672,16.733,0.365214788205358
2010-04-30,16.356,16.405,0.299136168004637
2010-05-03,15.886,15.922,0.226358148893369
2010-05-04,15.038,15.099,0.404817997810001
2010-05-05,15.243,15.382,0.907755102040812
2010-05-06,14.944,15.116,1.14437791084497
2010-05-07,14.854,14.936,0.550520308828471
2010-05-10,15.468,15.554,0.554445232415707
2010-05-11,15.316,15.349,0.215229088537417
2010-05-12,15.251,15.333,0.536228093120591
2010-05-13,14.903,14.964,0.408477583955536
2010-05-14,14.391,14.399,0.0555748523792922
2010-05-17,14.023,14.186,1.15565954128115
2010-05-18,13.716,13.777,0.44374931800822
2010-05-19,13.4,13.47,0.521027167845183
2010-05-20,12.819,12.856,0.288218111002914
2010-05-21,13.572,13.695,0.902189459786563
2010-05-24,13.593,13.773,1.31550098662574
2010-05-25,13.556,13.63,0.544397851835515
2010-05-26,13.92,14.125,1.46193617400606
2010-05-27,14.805,14.817,0.0810208628721927
2010-05-28,14.739,14.882,0.965531210965186
2010-05-31,14.997,15.149,1.00842566177934
2010-06-01,14.69,14.919,1.54682697828364
2010-06-02,14.985,15.144,1.05546151548343
2010-06-03,14.985,15.144,1.05546151548343
2010-06-04,14.342,14.428,0.597844977407023
2010-06-07,13.941,13.953,0.0860400086039914
2010-06-08,14.055,14.084,0.206119620455595
2010-06-09,14.207,14.289,0.575519371139802
2010-06-10,14.534,14.563,0.199333264597724
2010-06-11,14.494,14.514,0.137892995035849
2010-06-14,14.494,14.616,0.838199931295087
2010-06-15,14.78,14.899,0.801913811112233
2010-06-16,14.641,14.698,0.38856130065783
2010-06-17,14.518,14.547,0.19955272664717
2010-06-18,14.268,14.473,1.4265335235378
2010-06-21,14.866,14.887,0.141162235740939
2010-06-22,14.895,14.903,0.0536948788509356
2010-06-23,15.018,15.067,0.325743726109353
2010-06-24,14.608,14.62,0.0821130422882077
2010-06-25,14.784,14.817,0.222965440356741
2010-06-28,14.534,14.657,0.842725497584867
2010-06-29,13.675,13.695,0.146145414687611
2010-06-30,13.409,13.425,0.119251695610047
2010-07-01,13.273,13.302,0.218250235183442
2010-07-02,13.216,13.294,0.588457185967568
2010-07-05,12.958,12.97,0.0925640234495561
2010-07-06,13.224,13.343,0.895848232769976
2010-07-07,13.503,13.511,0.0592285481602067
2010-07-08,13.482,13.511,0.214870521987181
2010-07-09,13.482,13.511,0.214870521987181
2010-07-12,13.388,13.429,0.305776186747215
2010-07-13,13.523,13.552,0.21421975992613
2010-07-14,13.372,13.482,0.819244805243162
2010-07-15,13.147,13.179,0.243105674998101
2010-07-16,13.02,13.061,0.314405122502974
2010-07-19,13.22,13.265,0.339814989616764
2010-07-20,14.125,14.15,0.176834659593283
2010-07-21,14.317,14.387,0.487736900780381
2010-07-22,14.534,14.539,0.034396175145317
2010-07-23,14.858,14.903,0.302409193239474
2010-07-26,14.682,14.71,0.190528034839415
2010-07-27,14.76,14.813,0.358435059006532
2010-07-28,14.989,15.144,1.02877244217303
2010-07-29,15.194,15.21,0.105249309301408
2010-07-30,15.108,15.116,0.0529380624669079
2010-08-02,15.656,15.705,0.312490035394276
2010-08-03,15.869,15.967,0.615655233069486
2010-08-04,15.881,15.967,0.540065310223564
2010-08-05,16.049,16.082,0.205409106470395
2010-08-06,15.931,15.955,0.150536285517161
2010-08-09,16.09,16.131,0.254492411781139
2010-08-10,15.845,15.939,0.591492574880439
2010-08-11,15.28,15.288,0.0523423187647271
2010-08-12,15.353,15.39,0.240705201184015
2010-08-13,15.484,15.554,0.451059990978802
2010-08-16,15.853,15.861,0.0504509049631134
2010-08-17,15.976,16.049,0.455893832943005
2010-08-18,16.156,16.189,0.204050085020877
2010-08-19,15.808,15.824,0.101163378856854
2010-08-20,15.722,15.73,0.0508711687651081
2010-08-23,15.312,15.333,0.137053352912389
2010-08-24,14.842,14.899,0.383309236407643
2010-08-25,14.6,14.608,0.0547795124623452
2010-08-26,14.559,14.698,0.950199952148212
2010-08-27,15.009,15.067,0.385689586381167
2010-08-30,14.657,14.698,0.279339124510307
2010-08-31,14.821,14.985,1.10044957391129
2010-09-01,15.628,15.738,0.701396416501941
2010-09-02,15.714,15.832,0.748113865466305
2010-09-03,15.394,15.398,0.0259807742270691
2010-09-06,15.271,15.402,0.854171421119541
2010-09-07,15.271,15.402,0.854171421119541
2010-09-08,15.046,15.104,0.38474295190713
2010-09-09,15.075,15.108,0.21866613656695
2010-09-10,15.018,15.095,0.511407033507123
2010-09-13,15.521,15.558,0.23810289906367
2010-09-14,15.411,15.562,0.975042779194781
2010-09-15,15.431,15.435,0.0259184863604052
2010-09-16,15.161,15.169,0.0527530497856966
2010-09-17,14.973,14.981,0.0534152366962617
2010-09-20,15.353,15.431,0.506756756756753
2010-09-21,15.423,15.529,0.684931506849314
2010-09-22,15.845,15.918,0.459654314768748
2010-09-23,15.857,16.004,0.922758231066206
2010-09-24,16.328,16.385,0.348485311649816
2010-09-27,16.745,16.749,0.0238848749029545
