"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,14.23,14.25,0.140449438202244
2010-01-05,14.12,14.15,0.212239122744967
2010-01-06,14.37,14.46,0.624349635796057
2010-01-07,14.1,14.14,0.283286118980176
2010-01-08,13.9,13.97,0.502332256907071
2010-01-11,15.25,15.26,0.0655522779416571
2010-01-12,15.07,15.1,0.198873052701355
2010-01-13,14.88,14.9,0.13431833445265
2010-01-14,14.85,14.9,0.336134453781517
2010-01-15,14.41,14.45,0.277200277200271
2010-01-18,14.3,14.34,0.279329608938542
2010-01-19,14.25,14.26,0.0701508242721837
2010-01-20,14.05,14.08,0.213295414148591
2010-01-21,13.86,13.93,0.503778337531488
2010-01-22,13.61,13.66,0.366703337000372
2010-01-25,13.61,13.66,0.366703337000372
2010-01-26,13.34,13.35,0.0749344323716732
2010-01-27,13.27,13.34,0.526118000751599
2010-01-28,13.27,13.29,0.150602409638551
2010-01-29,13.2,13.26,0.453514739229029
2010-02-01,13.32,13.35,0.224971878515181
2010-02-02,13.32,13.37,0.374672161858366
2010-02-03,13.28,13.3,0.150489089541018
2010-02-04,12.96,12.99,0.231213872832365
2010-02-05,12.95,12.99,0.308404009252127
2010-02-08,13.17,13.24,0.530102234002274
2010-02-09,13.16,13.23,0.530503978779843
2010-02-10,13.03,13.1,0.535782625334866
2010-02-11,13.16,13.2,0.303490136570555
2010-02-12,12.95,13,0.385356454720622
2010-02-15,12.95,13,0.385356454720622
2010-02-16,12.95,13,0.385356454720622
2010-02-17,13.11,13.12,0.0762485703393045
2010-02-18,13.01,13.18,1.29820542191676
2010-02-19,12.99,13.05,0.460829493087561
2010-02-22,13.47,13.48,0.0742115027829298
2010-02-23,13.11,13.19,0.608365019011407
2010-02-24,12.89,12.9,0.0775494377665745
2010-02-25,12.84,12.85,0.0778513040093405
2010-02-26,12.76,12.78,0.156617071260764
2010-03-01,12.72,12.73,0.0785854616895857
2010-03-02,12.86,12.9,0.310559006211187
2010-03-03,12.81,12.86,0.389559797428897
2010-03-04,12.89,12.9,0.0775494377665745
2010-03-05,12.86,12.92,0.465477114041897
2010-03-08,12.65,12.69,0.315706393054453
2010-03-09,12.65,12.7,0.394477317554232
2010-03-10,12.86,12.9,0.310559006211187
2010-03-11,13.29,13.3,0.075216246709301
2010-03-12,13.2,13.24,0.302571860816951
2010-03-15,13.06,13.19,0.990476190476183
2010-03-16,13.21,13.3,0.678989060731798
2010-03-17,13.22,13.3,0.603318250377074
2010-03-18,13.4,13.47,0.521027167845183
2010-03-19,13.11,13.18,0.532521871434008
2010-03-22,13.15,13.25,0.757575757575755
2010-03-23,13.21,13.25,0.30234315948601
2010-03-24,12.95,13.03,0.615858352578908
2010-03-25,12.97,13,0.23103581055063
2010-03-26,12.93,13.01,0.616808018504241
2010-03-29,13.09,13.1,0.0763650248186314
2010-03-30,13.01,13.03,0.153609831029183
2010-03-31,13,13.09,0.68991950939057
2010-04-01,13.05,13.1,0.38240917782026
2010-04-02,13.05,13.1,0.38240917782026
2010-04-05,13,13.09,0.68991950939057
2010-04-06,13.1,13.12,0.152555301296717
2010-04-07,13.03,13.09,0.459418070444108
2010-04-08,13.06,13.17,0.838734273732363
2010-04-09,12.95,13,0.385356454720622
2010-04-12,12.75,12.77,0.156739811912222
2010-04-13,12.59,12.6,0.0793965859468026
2010-04-14,12.57,12.58,0.0795228628230599
2010-04-15,12.83,12.84,0.0779119594857794
2010-04-16,12.64,12.66,0.158102766798416
2010-04-19,12.42,12.45,0.241254523522311
2010-04-20,12.43,12.45,0.160771704180061
2010-04-21,12.43,12.45,0.160771704180061
2010-04-22,12.73,12.8,0.548374461417942
2010-04-23,12.65,12.68,0.236873272799047
2010-04-26,12.74,12.8,0.469851213782306
2010-04-27,12.4,12.42,0.161160354552777
2010-04-28,12.31,12.33,0.162337662337659
2010-04-29,12.38,12.39,0.0807428340734743
2010-04-30,12.4,12.57,1.3616339607529
2010-05-03,12.78,12.83,0.390472471690751
2010-05-04,12.96,12.97,0.0771307365985329
2010-05-05,12.79,12.8,0.0781555295037246
2010-05-06,12.6,12.64,0.316957210776552
2010-05-07,12.18,12.24,0.491400491400495
2010-05-10,12.26,12.28,0.162999185004072
2010-05-11,12.04,12.12,0.66225165562914
2010-05-12,12.01,12.02,0.083229296712441
2010-05-13,11.91,12,0.752823086574654
2010-05-14,11.4,11.41,0.0876808417360788
2010-05-17,10.48,10.49,0.0953743443013809
2010-05-18,10.28,10.3,0.194363459669595
2010-05-19,10.11,10.14,0.296296296296307
2010-05-20,10.1,10.15,0.493827160493834
2010-05-21,10.48,10.5,0.190657769304095
2010-05-24,10.52,10.59,0.663192799621035
2010-05-25,10.3,10.35,0.484261501210643
2010-05-26,10.11,10.23,1.17994100294986
2010-05-27,10.5,10.55,0.47505938242281
2010-05-28,10.63,10.64,0.0940291490361992
2010-05-31,10.71,10.79,0.744186046511612
2010-06-01,10.86,10.89,0.275862068965528
2010-06-02,11.15,11.16,0.0896458987001325
2010-06-03,11.15,11.16,0.0896458987001325
2010-06-04,10.9,10.93,0.274851122308744
2010-06-07,10.91,10.98,0.639561443581547
2010-06-08,11.35,11.38,0.263968323801154
2010-06-09,11.27,11.35,0.707338638373122
2010-06-10,11.45,11.49,0.348735832606808
2010-06-11,11.64,11.7,0.514138817480709
2010-06-14,11.9,12,0.836820083682006
2010-06-15,12,12.06,0.498753117206987
2010-06-16,12.28,12.33,0.406338886631456
2010-06-17,12.05,12.09,0.331400165700076
2010-06-18,12.28,12.4,0.972447325769862
2010-06-21,12.48,12.49,0.0800961153384044
2010-06-22,12.72,12.82,0.783085356303834
2010-06-23,12.67,12.68,0.0788954635108464
2010-06-24,12.6,12.62,0.158604282315619
2010-06-25,12.84,12.88,0.311041990668747
2010-06-28,12.65,12.83,1.41287284144427
2010-06-29,12.39,12.51,0.963855421686741
2010-06-30,12.53,12.6,0.557103064066855
2010-07-01,12.96,12.97,0.0771307365985329
2010-07-02,13.08,13.1,0.152788388082502
2010-07-05,13.07,13.14,0.534147272033577
2010-07-06,13.24,13.29,0.376931775348654
2010-07-07,13.2,13.35,1.12994350282486
2010-07-08,13.12,13.22,0.759301442672752
2010-07-09,13.12,13.22,0.759301442672752
2010-07-12,13.24,13.25,0.0755001887504703
2010-07-13,13.39,13.4,0.0746547219111593
2010-07-14,13.35,13.43,0.597460791635549
2010-07-15,13.42,13.5,0.594353640416048
2010-07-16,13.07,13.17,0.762195121951217
2010-07-19,12.95,12.96,0.0771902740254849
2010-07-20,12.86,12.87,0.077730275942478
2010-07-21,12.94,13.04,0.769822940723631
2010-07-22,13.25,13.28,0.226159065209192
2010-07-23,13.27,13.32,0.376081233546451
2010-07-26,13.37,13.43,0.447761194029854
2010-07-27,13.52,13.54,0.147819660014779
2010-07-28,13.39,13.5,0.818148010412789
2010-07-29,13.01,13.04,0.230326295585408
2010-07-30,13.21,13.29,0.603773584905647
2010-08-02,13.4,13.48,0.595238095238096
2010-08-03,13.46,13.52,0.44477390659747
2010-08-04,13.98,13.99,0.0715051841258476
2010-08-05,13.83,13.87,0.288808664259922
2010-08-06,13.74,13.75,0.0727537286285907
2010-08-09,13.57,13.6,0.220831799779163
2010-08-10,13.45,13.5,0.371057513914662
