"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,14.51,14.6,0.618344211611129
2010-01-05,14.14,14.3,1.12517580872011
2010-01-06,14.35,14.38,0.208840932822841
2010-01-07,14.04,14.1,0.426439232409385
2010-01-08,13.96,14,0.286123032904143
2010-01-11,14.16,14.25,0.633579725448785
2010-01-12,14.02,14.19,1.20524636653669
2010-01-13,14.4,14.72,2.1978021978022
2010-01-14,14.26,14.32,0.419874037788667
2010-01-15,14.1,14.2,0.706713780918725
2010-01-18,14.42,14.55,0.897480151881262
2010-01-19,14.81,14.98,1.14132259147365
2010-01-20,14.55,14.64,0.616649537512846
2010-01-21,14.28,14.3,0.139958012596231
2010-01-22,14.25,14.38,0.90813831645128
2010-01-25,14.25,14.38,0.90813831645128
2010-01-26,14,14.05,0.356506238859185
2010-01-27,13.38,13.4,0.149365197908884
2010-01-28,13.1,13.18,0.608828006088281
2010-01-29,13.09,13.1,0.0763650248186314
2010-02-01,13.21,13.25,0.30234315948601
2010-02-02,13.5,13.54,0.295857988165674
2010-02-03,13.32,13.49,1.26818351361432
2010-02-04,12.9,12.95,0.386847195357825
2010-02-05,12.56,12.77,1.65811290959336
2010-02-08,12.82,13,1.39426800929512
2010-02-09,13.6,13.79,1.38736765242789
2010-02-10,13.8,13.99,1.36739834472832
2010-02-11,14,14.16,1.13636363636364
2010-02-12,13.92,14.04,0.858369098712441
2010-02-15,13.92,14.04,0.858369098712441
2010-02-16,13.92,14.04,0.858369098712441
2010-02-17,14.31,14.34,0.209424083769629
2010-02-18,14.27,14.4,0.906871294035583
2010-02-19,14.53,14.58,0.343524562006188
2010-02-22,14.8,14.82,0.135043889264008
2010-02-23,14.34,14.4,0.417536534446768
2010-02-24,14.35,14.37,0.13927576601671
2010-02-25,14.3,14.55,1.73310225303293
2010-02-26,14.27,14.49,1.52990264255911
2010-03-01,14.88,14.9,0.13431833445265
2010-03-02,14.7,14.77,0.475059382422805
2010-03-03,14.68,14.8,0.814111261872463
2010-03-04,14.44,14.5,0.414651002073259
2010-03-05,14.37,14.39,0.139082058414474
2010-03-08,14.71,14.74,0.20373514431239
2010-03-09,14.85,15.05,1.33779264214048
2010-03-10,14.92,15.02,0.668002672010686
2010-03-11,14.8,14.95,1.00840336134453
2010-03-12,14.65,14.76,0.748044882692958
2010-03-15,14.7,14.85,1.01522842639594
2010-03-16,14.95,14.99,0.267201068804281
2010-03-17,14.91,14.95,0.267916945746813
2010-03-18,14.55,14.69,0.957592339261278
2010-03-19,14.34,14.54,1.38504155124653
2010-03-22,14.6,14.66,0.410116199589887
2010-03-23,14.79,14.99,1.34318334452653
2010-03-24,14.62,14.7,0.545702592087313
2010-03-25,14.45,14.61,1.10116999311769
2010-03-26,14.5,14.55,0.344234079173843
2010-03-29,14.6,14.7,0.682593856655288
2010-03-30,14.58,14.69,0.751622822002046
