"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,7.624,7.639,0.196553757452671
2010-01-05,7.719,7.756,0.478190630048464
2010-01-06,7.61,7.622,0.157563025210078
2010-01-07,7.537,7.571,0.450092666137143
2010-01-08,7.522,7.529,0.0930170752773859
2010-01-11,7.512,7.525,0.172906829819788
2010-01-12,7.527,7.561,0.450689289501588
2010-01-13,7.549,7.576,0.35702479338842
2010-01-14,7.398,7.403,0.0675630024998297
2010-01-15,7.257,7.281,0.330169211721007
2010-01-18,7.132,7.135,0.0420550921707453
2010-01-19,7.274,7.276,0.0274914089347049
2010-01-20,7.169,7.184,0.209015536821578
2010-01-21,7.196,7.208,0.166620383226888
2010-01-22,7.157,7.159,0.0279407655769737
2010-01-25,7.157,7.159,0.0279407655769737
2010-01-26,7.437,7.476,0.523033594850127
2010-01-27,7.447,7.5,0.709172409179099
2010-01-28,7.5,7.544,0.584950810954528
2010-01-29,7.581,7.634,0.69668090699967
2010-02-01,7.559,7.561,0.0264550264550235
2010-02-02,7.439,7.451,0.161182001343178
2010-02-03,7.349,7.352,0.0408135500986343
2010-02-04,7.094,7.108,0.197155330235169
2010-02-05,7.24,7.247,0.0966383654310716
2010-02-08,7.269,7.281,0.164948453608241
2010-02-09,7.354,7.398,0.596529284164854
2010-02-10,7.339,7.391,0.706042090970803
2010-02-11,7.551,7.585,0.449260042283296
2010-02-12,7.422,7.471,0.658027261129395
2010-02-15,7.422,7.471,0.658027261129395
2010-02-16,7.422,7.471,0.658027261129395
2010-02-17,7.451,7.476,0.334963488979706
2010-02-18,7.469,7.498,0.387519208926303
2010-02-19,7.335,7.342,0.0953873407372034
2010-02-22,7.22,7.232,0.166066980348747
2010-02-23,7.103,7.154,0.715438030441189
2010-02-24,7.132,7.135,0.0420550921707453
2010-02-25,7.264,7.303,0.535456854534217
2010-02-26,7.22,7.235,0.207540643376002
2010-03-01,7.262,7.305,0.590375506281323
2010-03-02,7.225,7.232,0.0968389015701814
2010-03-03,7.366,7.415,0.663013327920985
2010-03-04,7.4,7.403,0.0405323245288013
2010-03-05,7.476,7.488,0.160384923817167
2010-03-08,7.376,7.395,0.257260848960791
2010-03-09,7.386,7.427,0.55356781205697
2010-03-10,7.434,7.437,0.0403469840629428
2010-03-11,7.378,7.391,0.176044417360687
2010-03-12,7.378,7.381,0.0406531607832524
2010-03-15,7.288,7.305,0.232988419105043
2010-03-16,7.308,7.31,0.0273635244219425
2010-03-17,7.349,7.371,0.298913043478264
2010-03-18,7.213,7.244,0.428857992667908
2010-03-19,7.164,7.167,0.0418672807201188
2010-03-22,7.15,7.174,0.33510192683608
2010-03-23,7.269,7.274,0.0687616035205926
2010-03-24,7.279,7.305,0.35655512890839
2010-03-25,7.22,7.223,0.0415426158000431
2010-03-26,7.281,7.293,0.164676821737347
2010-03-29,7.293,7.296,0.0411268764137379
2010-03-30,7.298,7.313,0.205324755321329
2010-03-31,7.171,7.188,0.236785291454829
2010-04-01,7.184,7.201,0.23635731664928
2010-04-02,7.184,7.201,0.23635731664928
2010-04-05,7.264,7.303,0.535456854534217
2010-04-06,7.213,7.247,0.470262793914243
2010-04-07,7.191,7.208,0.236127508854786
2010-04-08,7.176,7.179,0.0417972831765951
2010-04-09,7.13,7.135,0.0701016473887121
2010-04-12,7.067,7.076,0.127271441702601
2010-04-13,7.196,7.198,0.0277893566764022
2010-04-14,7.23,7.244,0.193450324720179
2010-04-15,7.3,7.305,0.0684697021567942
2010-04-16,7.244,7.252,0.11037527593819
2010-04-19,7.201,7.208,0.0971614962870506
2010-04-20,7.269,7.274,0.0687616035205926
2010-04-21,7.269,7.274,0.0687616035205926
2010-04-22,7.393,7.398,0.0676086809546331
2010-04-23,7.566,7.571,0.0660632886305066
2010-04-26,7.529,7.546,0.225538971807633
2010-04-27,7.517,7.525,0.106368833931658
2010-04-28,7.661,7.671,0.130446125750074
2010-04-29,7.673,7.695,0.28630921395107
2010-04-30,7.366,7.38,0.189882001898823
2010-05-03,7.554,7.591,0.488610102344007
2010-05-04,7.374,7.412,0.51399972947383
2010-05-05,7.404,7.42,0.215866162978953
2010-05-06,7.176,7.232,0.777345918933926
2010-05-07,7.144,7.179,0.488724429239686
2010-05-10,7.433,7.492,0.79061976549414
2010-05-11,7.388,7.431,0.580336055064446
2010-05-12,7.46,7.495,0.468070879304582
2010-05-13,7.286,7.313,0.369888348517024
2010-05-14,7.181,7.206,0.347535969972897
2010-05-17,7.339,7.347,0.1089472967452
2010-05-18,7.235,7.281,0.633783411408093
2010-05-19,7.259,7.286,0.37126160192505
2010-05-20,6.954,6.964,0.143698807299909
2010-05-21,6.991,7.005,0.200057159188343
2010-05-24,7.005,7.018,0.185409684090421
2010-05-25,6.938,6.983,0.646505279793117
2010-05-26,6.975,7.015,0.571837026447463
2010-05-27,6.951,6.964,0.186848724398143
2010-05-28,6.871,6.884,0.189022173754997
2010-05-31,6.951,6.962,0.158125494142171
2010-06-01,6.651,6.656,0.0751484181257969
2010-06-02,6.482,6.509,0.415672388576709
2010-06-03,6.482,6.509,0.415672388576709
2010-06-04,6.517,6.522,0.0766929979292874
2010-06-07,6.643,6.656,0.195503421309871
2010-06-08,6.656,6.664,0.12012012012012
2010-06-09,6.544,6.56,0.244200244200244
2010-06-10,6.678,6.683,0.074844697253198
2010-06-11,6.683,6.697,0.209267563527657
2010-06-14,6.67,6.697,0.403979950624675
2010-06-15,6.796,6.804,0.11764705882353
2010-06-16,6.812,6.833,0.30780505679736
2010-06-17,6.817,6.855,0.555880631948512
2010-06-18,6.817,6.879,0.905373831775692
2010-06-21,6.889,6.897,0.116059770781953
2010-06-22,6.938,6.946,0.115240564678767
2010-06-23,6.946,6.962,0.230083405234398
2010-06-24,6.93,6.951,0.302571860816943
2010-06-25,7.015,7.045,0.426742532005694
2010-06-28,7.072,7.085,0.183654729109273
2010-06-29,6.978,7.015,0.528835846494675
2010-06-30,6.951,7.007,0.802407221664996
2010-07-01,6.991,7.015,0.342710267028417
2010-07-02,7.007,7.026,0.27079028005416
2010-07-05,7.085,7.125,0.562983814215342
2010-07-06,7.144,7.192,0.669642857142858
2010-07-07,7.088,7.098,0.140984068800223
2010-07-08,6.919,6.924,0.0722386765874562
2010-07-09,6.919,6.924,0.0722386765874562
2010-07-12,6.906,6.935,0.419044866700382
2010-07-13,6.948,6.983,0.502476491278433
2010-07-14,6.804,6.825,0.308166409861324
2010-07-15,6.774,6.793,0.280091398245745
2010-07-16,6.71,6.721,0.163800163800166
2010-07-19,6.705,6.707,0.0298240381747656
