"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,5.672,5.703,0.545054945054955
2010-01-05,5.706,5.724,0.314960629921256
2010-01-06,5.542,5.567,0.450085516248094
2010-01-07,5.247,5.249,0.0381097560975568
2010-01-08,5.29,5.294,0.0755857898714958
2010-01-11,5.301,5.312,0.207292942617547
2010-01-12,5.2,5.209,0.172927274474002
2010-01-13,5.147,5.155,0.15530964861192
2010-01-14,5.256,5.278,0.417695082589697
2010-01-15,5.234,5.24,0.114569409967543
2010-01-18,5.211,5.214,0.0575539568345346
2010-01-19,5.225,5.261,0.686629792103766
2010-01-20,5.068,5.073,0.0986096045755011
2010-01-21,4.887,4.914,0.550964187327827
2010-01-22,5.117,5.122,0.0976657876745755
2010-01-25,5.117,5.122,0.0976657876745755
2010-01-26,4.974,5.062,1.75368672777999
2010-01-27,4.941,5.006,1.30692671157134
2010-01-28,4.876,4.885,0.184407335313994
2010-01-29,4.764,4.784,0.418935902806862
2010-02-01,5.265,5.274,0.170794192997445
2010-02-02,5.234,5.245,0.209943696917647
2010-02-03,5.332,5.334,0.0375023438964894
2010-02-04,5.202,5.205,0.057653502450276
2010-02-05,5.191,5.234,0.824940047961633
2010-02-08,5.39,5.48,1.65593376264951
2010-02-09,5.614,5.625,0.195746952575854
2010-02-10,5.495,5.547,0.941858358992929
2010-02-11,5.401,5.419,0.332717190388166
2010-02-12,5.435,5.448,0.23890471377379
2010-02-15,5.435,5.448,0.23890471377379
2010-02-16,5.435,5.448,0.23890471377379
2010-02-17,5.469,5.48,0.200931591926205
2010-02-18,5.469,5.502,0.601585999453094
2010-02-19,5.448,5.455,0.128405026139589
2010-02-22,5.437,5.457,0.367174591518259
2010-02-23,5.301,5.312,0.207292942617547
2010-02-24,5.193,5.2,0.134706052150497
2010-02-25,5.247,5.254,0.133320636129886
2010-02-26,5.225,5.265,0.762631077216397
2010-03-01,5.252,5.256,0.0761324704986762
