"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,9.468,9.49,0.23209199282625
2010-01-05,9.916,9.933,0.171293264144284
2010-01-06,10.151,10.19,0.383461973354306
2010-01-07,10.106,10.14,0.335868813592815
2010-01-08,10.089,10.162,0.720952051750535
2010-01-11,10.084,10.134,0.494608764467313
2010-01-12,10.454,10.526,0.686367969494749
2010-01-13,10.073,10.078,0.0496253287677932
2010-01-14,9.641,9.692,0.527595303367301
2010-01-15,9.524,9.58,0.586264656616425
2010-01-18,9.378,9.417,0.415003990422982
2010-01-19,9.484,9.518,0.357857067677094
2010-01-20,9.243,9.283,0.431825542480829
2010-01-21,9.26,9.271,0.11871998273165
2010-01-22,9.451,9.496,0.475009236290705
2010-01-25,9.451,9.496,0.475009236290705
2010-01-26,9.305,9.356,0.546594501902365
2010-01-27,9.075,9.154,0.86675078172144
2010-01-28,9.019,9.075,0.618989720349278
2010-01-29,9.042,9.07,0.309187279151949
2010-02-01,9.159,9.243,0.912944245190736
2010-02-02,9.613,9.636,0.238973453166395
2010-02-03,9.557,9.596,0.407246906489842
2010-02-04,8.963,9.008,0.500806855489399
2010-02-05,8.795,8.823,0.317856737427636
2010-02-08,8.98,9.064,0.931057415207267
2010-02-09,9.277,9.294,0.183081148026506
2010-02-10,9.176,9.243,0.727509636788101
2010-02-11,9.423,9.468,0.476417341591233
2010-02-12,9.299,9.356,0.611096220852323
2010-02-15,9.299,9.356,0.611096220852323
2010-02-16,9.299,9.356,0.611096220852323
2010-02-17,9.759,9.77,0.112652977623014
2010-02-18,9.725,9.748,0.236224515996505
2010-02-19,9.955,9.961,0.0602530628640312
2010-02-22,9.613,9.692,0.818440818440825
2010-02-23,9.608,9.72,1.15894039735099
2010-02-24,9.748,9.804,0.572831423895263
2010-02-25,9.708,9.776,0.69800862245945
2010-02-26,9.636,9.658,0.228050171037631
2010-03-01,9.753,9.848,0.969338299066381
2010-03-02,9.652,9.658,0.0621439668565534
2010-03-03,9.708,9.72,0.123533045089566
2010-03-04,9.776,9.798,0.224787984060491
2010-03-05,9.608,9.636,0.290999792142992
2010-03-08,9.389,9.468,0.837885135493457
2010-03-09,9.518,9.552,0.356581017304656
2010-03-10,9.585,9.72,1.3986013986014
2010-03-11,9.552,9.574,0.230053330544811
2010-03-12,9.468,9.496,0.295296350980811
2010-03-15,9.395,9.412,0.180783750731124
2010-03-16,9.356,9.384,0.298826040554968
2010-03-17,9.344,9.356,0.12834224598931
2010-03-18,9.305,9.356,0.546594501902365
2010-03-19,9.316,9.333,0.182315405651772
2010-03-22,9.187,9.199,0.130534102034161
2010-03-23,8.991,9.036,0.499251123315027
2010-03-24,8.812,8.818,0.0680657969370417
2010-03-25,8.745,8.823,0.887978142076516
2010-03-26,8.739,8.745,0.0686341798215334
2010-03-29,8.835,8.879,0.496782206164601
2010-03-30,8.683,8.706,0.26453505089424
2010-03-31,8.465,8.599,1.57055789967183
2010-04-01,8.806,8.823,0.192864030858259
2010-04-02,8.806,8.823,0.192864030858259
2010-04-05,8.913,8.969,0.626328151213501
2010-04-06,9.187,9.21,0.250040767516459
2010-04-07,9.137,9.204,0.730603565781584
2010-04-08,9.26,9.299,0.420281265154369
2010-04-09,9.384,9.406,0.234167110164984
2010-04-12,9.187,9.271,0.910174450102952
2010-04-13,9.131,9.176,0.49161522914732
2010-04-14,9.221,9.299,0.842332613390922
2010-04-15,9.215,9.271,0.605863897003148
2010-04-16,9.019,9.087,0.75113222136308
2010-04-19,9.103,9.187,0.918534718425365
2010-04-20,9.187,9.26,0.791456605410098
2010-04-21,9.187,9.26,0.791456605410098
2010-04-22,9.266,9.35,0.902449505801457
2010-04-23,9.154,9.215,0.664162447601937
2010-04-26,8.969,8.991,0.244988864142542
2010-04-27,8.605,8.7,1.09794856977751
2010-04-28,8.487,8.51,0.270635994587276
2010-04-29,8.907,8.991,0.938652363392554
2010-04-30,8.885,8.907,0.247302158273384
2010-05-03,8.963,9.031,0.755807491386033
2010-05-04,8.75,8.762,0.137048880767479
2010-05-05,8.582,8.627,0.522982160497413
2010-05-06,8.482,8.532,0.587751263665225
2010-05-07,8.347,8.375,0.334888171271385
2010-05-10,8.739,8.823,0.956610864366241
2010-05-11,8.627,8.728,1.16392970325554
2010-05-12,8.655,8.7,0.51858254105445
2010-05-13,8.627,8.672,0.520261286779582
2010-05-14,8.515,8.571,0.655507432986061
2010-05-17,8.364,8.375,0.131429595555281
2010-05-18,8.19,8.229,0.475059382422799
2010-05-19,8.19,8.263,0.887376162401998
2010-05-20,7.927,8.078,1.88691034051859
2010-05-21,8.224,8.482,3.08871064288279
2010-05-24,8.521,8.538,0.199308283017756
2010-05-25,8.437,8.515,0.92024539877302
2010-05-26,8.795,8.851,0.634704748951614
2010-05-27,8.655,8.683,0.322989964240402
2010-05-28,8.543,8.683,1.62544990131198
2010-05-31,8.661,8.739,0.896551724137945
2010-06-01,8.37,8.375,0.0597193191997705
2010-06-02,8.538,8.566,0.327408793264739
2010-06-03,8.538,8.566,0.327408793264739
2010-06-04,8.274,8.319,0.542397396492517
2010-06-07,8.28,8.353,0.877773101665369
2010-06-08,8.403,8.431,0.332660092669582
2010-06-09,8.308,8.314,0.0721934785224429
2010-06-10,8.515,8.521,0.070439070204276
2010-06-11,8.739,8.745,0.0686341798215334
2010-06-14,8.823,8.835,0.135915732246013
2010-06-15,8.823,8.851,0.316849609596022
2010-06-16,9.115,9.12,0.0548395941869921
2010-06-17,9.187,9.238,0.553595658073272
2010-06-18,9.187,9.243,0.607704829083027
2010-06-21,9.199,9.327,1.38184173593868
2010-06-22,9.199,9.243,0.477171673354305
2010-06-23,9.271,9.283,0.129352161259013
2010-06-24,9.299,9.316,0.182648401826497
2010-06-25,9.356,9.4,0.469183194711031
2010-06-28,9.44,9.524,0.885889052942413
2010-06-29,9.356,9.372,0.170867150790261
2010-06-30,9.187,9.193,0.0652883569096869
2010-07-01,9.327,9.356,0.310442648396937
2010-07-02,9.529,9.636,1.11661883642055
2010-07-05,9.501,9.518,0.178768599821244
2010-07-06,9.893,9.972,0.795368738988158
2010-07-07,9.776,9.798,0.224787984060491
2010-07-08,9.608,9.624,0.166389351081531
2010-07-09,9.608,9.624,0.166389351081531
2010-07-12,9.339,9.35,0.117716303708055
2010-07-13,9.423,9.44,0.180247044478603
2010-07-14,9.468,9.484,0.168847615027438
2010-07-15,9.552,9.557,0.0523313621853659
2010-07-16,9.524,9.529,0.052485172938653
2010-07-19,9.451,9.468,0.179713515513499
2010-07-20,9.58,9.585,0.0521784503000342
2010-07-21,9.725,9.882,1.60146886316112
2010-07-22,10.196,10.235,0.381772796241003
2010-07-23,10.213,10.218,0.0489452302873162
