"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,NA,NA,NA
2010-01-05,NA,NA,NA
2010-01-06,NA,NA,NA
2010-01-07,NA,NA,NA
2010-01-08,NA,NA,NA
2010-01-11,NA,NA,NA
2010-01-12,NA,NA,NA
2010-01-13,NA,NA,NA
2010-01-14,NA,NA,NA
2010-01-15,NA,NA,NA
2010-01-18,NA,NA,NA
2010-01-19,NA,NA,NA
2010-01-20,NA,NA,NA
2010-01-21,NA,NA,NA
2010-01-22,NA,NA,NA
2010-01-25,NA,NA,NA
2010-01-26,NA,NA,NA
2010-01-27,NA,NA,NA
2010-01-28,NA,NA,NA
2010-01-29,NA,NA,NA
2010-02-01,NA,NA,NA
2010-02-02,NA,NA,NA
2010-02-03,NA,NA,NA
2010-02-04,NA,NA,NA
2010-02-05,NA,NA,NA
2010-02-08,NA,NA,NA
2010-02-09,NA,NA,NA
2010-02-10,NA,NA,NA
2010-02-11,NA,NA,NA
2010-02-12,NA,NA,NA
2010-02-15,NA,NA,NA
2010-02-16,NA,NA,NA
2010-02-17,NA,NA,NA
2010-02-18,NA,NA,NA
2010-02-19,NA,NA,NA
2010-02-22,NA,NA,NA
2010-02-23,NA,NA,NA
2010-02-24,NA,NA,NA
2010-02-25,NA,NA,NA
2010-02-26,NA,NA,NA
2010-03-01,NA,NA,NA
2010-03-02,NA,NA,NA
2010-03-03,NA,NA,NA
2010-03-04,NA,NA,NA
2010-03-05,NA,NA,NA
2010-03-08,NA,NA,NA
2010-03-09,NA,NA,NA
2010-03-10,NA,NA,NA
2010-03-11,NA,NA,NA
2010-03-12,NA,NA,NA
2010-03-15,NA,NA,NA
2010-03-16,NA,NA,NA
2010-03-17,NA,NA,NA
2010-03-18,NA,NA,NA
2010-03-19,NA,NA,NA
2010-03-22,NA,NA,NA
2010-03-23,NA,NA,NA
2010-03-24,NA,NA,NA
2010-03-25,NA,NA,NA
2010-03-26,NA,NA,NA
2010-03-29,NA,NA,NA
2010-03-30,NA,NA,NA
2010-03-31,NA,NA,NA
2010-04-01,9.5,9.52,0.210304942166136
2010-04-02,9.5,9.52,0.210304942166136
2010-04-05,9.51,9.54,0.314960629921253
2010-04-06,9.5,9.51,0.105207785376116
2010-04-07,9.52,9.55,0.314630309386483
2010-04-08,9.5,9.52,0.210304942166136
2010-04-09,9.5,9.53,0.315291644771407
2010-04-12,9.55,9.58,0.313643491897536
2010-04-13,9.7,9.75,0.514138817480727
2010-04-14,9.86,9.89,0.303797468354442
2010-04-15,9.8,9.84,0.407331975560073
2010-04-16,9.7,9.77,0.719054956343095
2010-04-19,9.85,9.88,0.304105423213392
2010-04-20,9.67,9.87,2.04708290685772
2010-04-21,9.67,9.87,2.04708290685772
2010-04-22,9.76,9.81,0.510986203372516
2010-04-23,9.78,9.79,0.1021972406745
2010-04-26,9.73,9.8,0.716845878136204
2010-04-27,9.55,9.66,1.14523685580426
2010-04-28,9.4,9.55,1.58311345646438
2010-04-29,9.5,9.66,1.67014613778706
2010-04-30,9.5,9.6,1.04712041884816
2010-05-03,9.76,9.89,1.323155216285
2010-05-04,9.51,9.81,3.10559006211181
2010-05-05,9.62,9.7,0.828157349896481
2010-05-06,9.6,9.68,0.8298755186722
2010-05-07,9.43,9.44,0.105988341282457
2010-05-10,9.5,9.51,0.105207785376116
2010-05-11,9.05,9.15,1.09890109890109
2010-05-12,9.35,9.4,0.533333333333341
2010-05-13,9.35,9.5,1.59151193633953
2010-05-14,9.23,9.3,0.755531570426339
2010-05-17,9.13,9.2,0.763775231860322
2010-05-18,9.05,9.09,0.441014332965812
2010-05-19,8.77,9,2.58863252673045
2010-05-20,8.4,8.49,1.06571936056838
2010-05-21,8.7,8.9,2.27272727272728
2010-05-24,8.4,8.56,1.88679245283019
2010-05-25,8.28,8.3,0.241254523522332
2010-05-26,8.4,8.49,1.06571936056838
2010-05-27,8.78,8.93,1.69395821569735
2010-05-28,8.91,9.2,3.20265046935394
2010-05-31,9.13,9.49,3.86680988184747
2010-06-01,9.27,9.35,0.859291084854996
2010-06-02,9.38,9.39,0.106553010122534
2010-06-03,9.38,9.39,0.106553010122534
2010-06-04,9.05,9.14,0.989554700384825
2010-06-07,9.12,9.19,0.764609503003826
2010-06-08,8.86,9,1.56774916013438
2010-06-09,9.2,9.25,0.542005420054208
2010-06-10,9.5,9.58,0.838574423480085
2010-06-11,9.34,9.5,1.69851380042463
2010-06-14,9.25,9.3,0.53908355795149
2010-06-15,9.2,9.37,1.83091007000538
2010-06-16,9.5,9.54,0.420168067226882
2010-06-17,9.71,9.73,0.205761316872424
2010-06-18,9.76,9.95,1.92795535261288
2010-06-21,9.69,9.9,2.14395099540583
2010-06-22,9.85,9.9,0.506329113924058
2010-06-23,9.52,9.55,0.314630309386483
2010-06-24,9.5,9.62,1.255230125523
