"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,80.172,81.231,1.31224326685377
2010-01-05,79.713,80.101,0.485564468694864
2010-01-06,80.702,81.055,0.436457154868115
2010-01-07,83.704,84.057,0.420836785665332
2010-01-08,84.41,84.975,0.667119284470287
2010-01-11,84.269,84.481,0.251259259259246
2010-01-12,85.646,85.929,0.329884889989802
2010-01-13,85.505,85.823,0.371217781098242
2010-01-14,83.739,83.916,0.211147892994533
2010-01-15,83.35,84.41,1.26371006199333
2010-01-18,83.88,84.057,0.210793333214249
2010-01-19,82.291,82.962,0.812088131531659
2010-01-20,81.231,81.408,0.217659970855707
2010-01-21,78.794,79.112,0.40277126898281
2010-01-22,78.936,79.183,0.312422921976486
2010-01-25,78.936,79.183,0.312422921976486
2010-01-26,79.819,82.114,2.8345056288712
2010-01-27,81.161,82.291,1.38266891809216
2010-01-28,81.443,82.644,1.4638575877431
2010-01-29,81.408,81.761,0.432680227249042
2010-02-01,82.291,82.573,0.342100155279499
2010-02-02,83.598,84.269,0.799442415721978
2010-02-03,86.529,86.67,0.162818492023632
2010-02-04,85.823,85.858,0.0407732946569636
2010-02-05,86.882,86.953,0.0816866568872758
2010-02-08,87.589,87.906,0.361263853671053
2010-02-09,87.836,87.942,0.120606674327839
2010-02-10,86.918,87.589,0.769023592176809
2010-02-11,87.129,87.977,0.968556188822769
2010-02-12,86.176,86.706,0.61313497067364
2010-02-15,86.176,86.706,0.61313497067364
2010-02-16,86.176,86.706,0.61313497067364
2010-02-17,85.823,86.529,0.81925362049759
2010-02-18,90.061,90.379,0.352471735757036
2010-02-19,90.944,91.085,0.154920369831171
2010-02-22,93.769,94.476,0.751148768891597
2010-02-23,93.028,93.593,0.605505275397729
2010-02-24,92.71,93.911,1.28710059425253
2010-02-25,92.357,92.78,0.456958900705966
2010-02-26,94.476,95.182,0.744497991120863
2010-03-01,95.712,96.242,0.552215634995886
2010-03-02,95.041,95.323,0.296274505683844
2010-03-03,93.593,94.476,0.939017062886489
2010-03-04,91.191,91.297,0.116172022269952
2010-03-05,92.215,92.251,0.0390315830559576
2010-03-08,92.71,92.816,0.114269698047722
2010-03-09,93.593,93.946,0.376455030686945
2010-03-10,94.829,95.359,0.557343260352915
2010-03-11,94.652,95.323,0.706408737991833
2010-03-12,91.756,91.827,0.0773492098941601
2010-03-15,89.355,89.496,0.15767314692117
2010-03-16,90.061,90.237,0.195232337574446
2010-03-17,86.423,86.882,0.529701970514415
2010-03-18,84.798,86.07,1.48886860032305
2010-03-19,85.152,85.47,0.372753806660334
2010-03-22,86.741,86.847,0.122128257713661
2010-03-23,86.07,86.458,0.449782064360574
2010-03-24,85.47,85.823,0.412159282632675
2010-03-25,85.823,86.141,0.36984485124795
2010-03-26,85.646,85.717,0.0828650292070026
2010-03-29,84.375,84.41,0.0414728796990213
2010-03-30,84.233,84.693,0.544617169648241
2010-03-31,84.057,84.304,0.2934171215424
2010-04-01,81.938,82.15,0.258397932816541
2010-04-02,81.938,82.15,0.258397932816541
2010-04-05,79.571,80.172,0.752458636685174
2010-04-06,78.159,78.229,0.089520935110102
2010-04-07,81.019,81.125,0.130747977106763
2010-04-08,81.231,81.267,0.0443082376398496
2010-04-09,79.677,79.783,0.1329487018688
2010-04-12,79.36,79.465,0.132220997953728
2010-04-13,80.878,81.055,0.218608930854127
2010-04-14,83.81,83.845,0.0417524082192557
2010-04-15,82.644,83.28,0.766616041079043
2010-04-16,80.878,82.114,1.51663885344066
2010-04-19,79.465,79.783,0.399377072239523
2010-04-20,79.324,79.465,0.177594165842729
2010-04-21,79.324,79.465,0.177594165842729
2010-04-22,78.653,78.936,0.359162124259944
2010-04-23,78.265,78.3,0.0447098649123324
2010-04-26,78.053,78.159,0.135713005402925
2010-04-27,77.382,77.7,0.410105621542149
2010-04-28,75.051,75.263,0.282076187181504
2010-04-29,73.991,74.027,0.0486427326406266
2010-04-30,75.333,75.898,0.747201301320493
2010-05-03,77.841,78.123,0.36162191274911
2010-05-04,78.583,79.289,0.894395459612855
2010-05-05,79.465,79.995,0.664743509344038
2010-05-06,78.229,78.406,0.226003128291897
2010-05-07,74.662,74.698,0.0482056775575618
2010-05-10,77.735,78.017,0.362114130155627
2010-05-11,75.227,75.934,0.935426465821202
2010-05-12,76.605,77.523,1.19121768919339
2010-05-13,74.733,75.686,1.26712715813827
2010-05-14,72.932,73.673,1.01087957436649
2010-05-17,73.709,73.815,0.143705430980714
2010-05-18,72.402,72.72,0.438251953528752
2010-05-19,67.634,67.952,0.469074978242588
2010-05-20,62.937,63.572,1.00388114679589
2010-05-21,62.866,63.007,0.224035337204958
2010-05-24,62.866,63.537,1.0616836625713
2010-05-25,61.383,63.219,2.94698319449126
2010-05-26,68.87,69.223,0.511249665080771
2010-05-27,72.437,73.285,1.16385995251232
2010-05-28,72.826,72.932,0.14544656210981
2010-05-31,74.168,74.874,0.947383958884058
2010-06-01,71.13,71.519,0.54539463999048
2010-06-02,72.402,72.755,0.486369930489049
2010-06-03,72.402,72.755,0.486369930489049
2010-06-04,74.168,75.58,1.88583486924699
2010-06-07,73.673,75.051,1.85309701191469
2010-06-08,74.168,74.45,0.379496427081506
2010-06-09,73.461,73.638,0.240654253258019
2010-06-10,74.309,74.839,0.710703462332718
2010-06-11,74.344,74.874,0.710370062592986
2010-06-14,75.58,75.757,0.233915037300867
2010-06-15,78.406,78.724,0.40476038948641
2010-06-16,77.452,77.523,0.0916276818841722
2010-06-17,76.463,77.17,0.920375179811639
2010-06-18,76.181,76.287,0.139045570218024
2010-06-21,76.817,76.993,0.228853780638453
2010-06-22,77.205,77.7,0.639101384719673
2010-06-23,76.64,76.852,0.276235895030364
2010-06-24,75.58,76.11,0.698793592194609
2010-06-25,75.58,76.958,1.80676290498105
2010-06-28,74.521,75.404,1.17792229448057
2010-06-29,71.342,71.625,0.395895556317194
2010-06-30,69.329,69.576,0.355638745905475
2010-07-01,68.87,70.106,1.7787243840663
2010-07-02,71.166,71.307,0.19793223979281
2010-07-05,70.636,71.166,0.747521191520573
2010-07-06,71.201,71.766,0.790392188407132
2010-07-07,74.168,74.344,0.237017884076691
2010-07-08,74.698,75.58,1.17382451190461
2010-07-09,74.698,75.58,1.17382451190461
2010-07-12,72.755,74.097,1.82769046386838
2010-07-13,73.285,73.921,0.864095213510332
2010-07-14,73.355,74.45,1.48168194580697
2010-07-15,71.978,74.521,3.47169605253279
2010-07-16,71.837,72.049,0.294677730981476
2010-07-19,70.106,70.283,0.252156507988527
2010-07-20,68.411,68.482,0.103730650946357
2010-07-21,70.636,70.989,0.498499558693746
2010-07-22,72.755,72.896,0.193613500765536
2010-07-23,73.285,73.991,0.958744126673732
2010-07-26,77.7,77.876,0.226255977785779
2010-07-27,76.004,76.252,0.325767129045805
2010-07-28,74.733,75.121,0.517837361698708
2010-07-29,73.461,73.497,0.0489935900053095
2010-07-30,73.179,73.461,0.38461538461538
2010-08-02,73.497,73.815,0.4317367220593
2010-08-03,72.967,73.991,1.39359544903986
2010-08-04,73.638,74.238,0.811490708431381
2010-08-05,77.24,77.7,0.593778236736812
2010-08-06,79.501,79.783,0.354084528263977
2010-08-09,80.172,80.348,0.21928731622228
2010-08-10,78.759,78.9,0.178867048503422
2010-08-11,77.523,77.876,0.45431437782741
2010-08-12,83.421,83.704,0.338668661181735
2010-08-13,84.763,84.798,0.0412830780662966
2010-08-16,90.661,91.12,0.505003273169367
2010-08-17,90.414,90.591,0.195574707880989
2010-08-18,93.345,94.299,1.01681908294431
2010-08-19,92.498,92.71,0.22893179560277
2010-08-20,92.18,92.957,0.839378406261295
2010-08-23,92.78,93.239,0.493497976013206
2010-08-24,94.299,94.476,0.187524831148184
2010-08-25,93.063,93.239,0.188940537407008
2010-08-26,93.769,94.44,0.713037102370229
2010-08-27,96.559,97.478,0.94724202085169
2010-08-30,102.422,102.599,0.172665239170628
2010-08-31,101.751,102.175,0.415837117385711
