"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,2.051,2.08,1.40401839748245
2010-01-05,2.051,2.067,0.777076250607092
2010-01-06,2.045,2.053,0.390434358223524
2010-01-07,2.022,2.032,0.493339911198827
2010-01-08,2.028,2.052,1.1764705882353
2010-01-11,2.047,2.057,0.487329434697845
2010-01-12,2.011,2.035,1.18635689569946
2010-01-13,2.007,2.008,0.0498132004981265
2010-01-14,1.953,1.964,0.561654327291289
2010-01-15,1.938,1.952,0.719794344473008
2010-01-18,1.948,1.964,0.817995910020451
2010-01-19,1.954,1.957,0.153413449245723
2010-01-20,1.941,1.947,0.308641975308642
2010-01-21,1.907,1.917,0.523012552301256
2010-01-22,1.918,1.928,0.520020800832034
2010-01-25,1.918,1.928,0.520020800832034
2010-01-26,1.93,1.964,1.74627632254751
2010-01-27,1.934,1.964,1.53925089789636
2010-01-28,1.912,1.928,0.833333333333334
2010-01-29,1.948,1.964,0.817995910020451
2010-02-01,1.976,1.982,0.303183425972714
2010-02-02,1.99,1.999,0.451240912509407
2010-02-03,1.982,1.999,0.854056769655872
2010-02-04,1.964,1.975,0.558517390200565
2010-02-05,1.959,1.964,0.254906958959974
2010-02-08,1.964,1.983,0.962756523942241
2010-02-09,1.983,2.008,1.25281884239539
2010-02-10,1.994,2.005,0.550137534383591
2010-02-11,1.99,2.013,1.1491381463902
2010-02-12,1.999,2.011,0.59850374064838
2010-02-15,1.999,2.011,0.59850374064838
2010-02-16,1.999,2.011,0.59850374064838
2010-02-17,1.991,2.011,0.999500249875063
2010-02-18,2.013,2.028,0.742390497401639
2010-02-19,2.007,2.022,0.744601638123588
2010-02-22,2.016,2.028,0.593471810089021
2010-02-23,2.002,2.011,0.448542237727403
2010-02-24,2.007,2.008,0.0498132004981265
2010-02-25,2.011,2.016,0.248323814253782
2010-02-26,2.017,2.03,0.642451198418577
2010-03-01,2.034,2.045,0.539347879382208
2010-03-02,2.037,2.045,0.391964723174915
2010-03-03,2.014,2.043,1.42962780379593
2010-03-04,2.022,2.029,0.345593680572704
2010-03-05,2.022,2.032,0.493339911198827
2010-03-08,1.997,1.999,0.1001001001001
2010-03-09,1.99,1.999,0.451240912509407
2010-03-10,1.982,1.987,0.25195263290502
2010-03-11,1.974,1.982,0.404448938321537
2010-03-12,1.942,1.947,0.257135510413994
2010-03-15,1.934,1.941,0.361290322580651
2010-03-16,1.947,1.952,0.256476019492172
2010-03-17,1.946,1.953,0.359066427289054
2010-03-18,1.932,1.941,0.464756003098379
2010-03-19,1.924,1.926,0.103896103896104
2010-03-22,1.917,1.918,0.0521512385919108
2010-03-23,1.93,1.935,0.25873221216042
2010-03-24,1.925,1.93,0.259403372243834
2010-03-25,1.926,1.937,0.569505565622579
2010-03-26,1.924,1.928,0.207684319833853
2010-03-29,1.826,1.831,0.273448181569587
2010-03-30,1.828,1.831,0.163979229297616
2010-03-31,1.801,1.807,0.33259423503326
2010-04-01,1.783,1.791,0.447677672076106
2010-04-02,1.783,1.791,0.447677672076106
2010-04-05,1.775,1.779,0.225098480585256
2010-04-06,1.739,1.766,1.54065620542082
2010-04-07,1.734,1.749,0.861326442721799
2010-04-08,1.785,1.799,0.781250000000001
2010-04-09,1.774,1.785,0.618151166057876
2010-04-12,1.768,1.781,0.732600732600727
2010-04-13,1.768,1.783,0.844832441565751
2010-04-14,1.792,1.808,0.88888888888889
2010-04-15,1.811,1.826,0.824855650261211
2010-04-16,1.808,1.818,0.551571980143409
2010-04-19,1.803,1.814,0.608238871993371
2010-04-20,1.778,1.779,0.0562271577171712
2010-04-21,1.778,1.779,0.0562271577171712
2010-04-22,1.791,1.808,0.944706863017512
2010-04-23,1.813,1.83,0.93329673346144
2010-04-26,1.849,1.88,1.66264414052024
2010-04-27,1.843,1.849,0.325027085590466
2010-04-28,1.814,1.82,0.330214639515685
2010-04-29,1.826,1.831,0.273448181569587
2010-04-30,1.756,1.803,2.64119134588367
2010-05-03,1.803,1.826,1.26756682281621
2010-05-04,1.814,1.823,0.494913390156717
2010-05-05,1.789,1.8,0.612984118138764
2010-05-06,1.729,1.762,1.89057576625608
2010-05-07,1.745,1.751,0.343249427917608
2010-05-10,1.746,1.774,1.59090909090909
2010-05-11,1.724,1.739,0.866300895177599
2010-05-12,1.745,1.751,0.343249427917608
2010-05-13,1.731,1.733,0.115473441108545
2010-05-14,1.712,1.729,0.988084859052608
2010-05-17,1.699,1.71,0.645350542681132
2010-05-18,1.66,1.675,0.899550224887564
2010-05-19,1.652,1.668,0.963855421686748
2010-05-20,1.612,1.623,0.680061823802158
2010-05-21,1.67,1.673,0.179479509422681
2010-05-24,1.684,1.716,1.88235294117647
2010-05-25,1.687,1.709,1.29564193168434
2010-05-26,1.704,1.722,1.0507880910683
2010-05-27,1.746,1.753,0.400114318376673
2010-05-28,1.733,1.767,1.94285714285713
2010-05-31,1.751,1.769,1.02272727272727
2010-06-01,1.756,1.767,0.624467783139364
2010-06-02,1.778,1.803,1.39625802848366
2010-06-03,1.778,1.803,1.39625802848366
2010-06-04,1.703,1.792,5.09298998569385
2010-06-07,1.755,1.785,1.69491525423729
2010-06-08,1.796,1.809,0.721220527045764
2010-06-09,1.784,1.809,1.39159476760367
2010-06-10,1.791,1.796,0.27878449958183
2010-06-11,1.807,1.808,0.0553250345781528
2010-06-14,1.798,1.814,0.885935769656701
2010-06-15,1.792,1.803,0.611961057023638
2010-06-16,1.804,1.837,1.81268882175226
2010-06-17,1.814,1.821,0.38514442916093
2010-06-18,1.791,1.814,1.27600554785022
