"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,8.825,9,1.96353436185134
2010-01-05,8.938,9.175,2.61690498536963
2010-01-06,8.943,9.161,2.40830755634114
2010-01-07,8.78,8.875,1.07618238459361
2010-01-08,8.68,8.788,1.23654682848638
2010-01-11,8.388,8.788,4.65766185374942
2010-01-12,8.476,8.75,3.18123766399627
2010-01-13,8.396,8.731,3.91195188883049
2010-01-14,8.5,8.749,2.88712389124008
2010-01-15,8.625,8.738,1.30161838391982
2010-01-18,8.394,8.874,5.55941626129257
2010-01-19,8.881,9.313,4.74881829174453
2010-01-20,9.019,9.311,3.1860338243317
2010-01-21,9,9.188,2.06729711897955
2010-01-22,9.015,9.311,3.23038306231583
2010-01-25,9.015,9.311,3.23038306231583
2010-01-26,9.004,9.25,2.69529966034842
2010-01-27,9.25,9.3,0.53908355795149
2010-01-28,9.126,9.25,1.34958641706574
2010-01-29,9.25,9.313,0.678769595431779
2010-02-01,8.978,9.319,3.72738700333389
2010-02-02,9.224,9.25,0.281476669914472
2010-02-03,8.505,8.875,4.25776754890678
2010-02-04,8.421,8.625,2.39352340725098
2010-02-05,5.275,8.313,44.7159258168973
2010-02-08,7.875,8,1.5748031496063
2010-02-09,7.888,7.956,0.858369098712453
2010-02-10,7.778,7.924,1.85963571519553
2010-02-11,7.751,7.875,1.58709842570075
2010-02-12,7.814,7.878,0.815702268671936
2010-02-15,7.814,7.878,0.815702268671936
2010-02-16,7.814,7.878,0.815702268671936
2010-02-17,7.565,7.999,5.5769725006425
2010-02-18,7.888,7.993,1.32233486556263
2010-02-19,6.875,7.999,15.1136210837703
2010-02-22,7.875,8.113,2.97723292469351
2010-02-23,8.094,8.188,1.15464930598208
2010-02-24,8.163,8.238,0.914578379367103
2010-02-25,7.751,8.123,4.68690941161647
2010-02-26,7.938,8.125,2.32833219199403
2010-03-01,7.766,7.811,0.577774924568273
2010-03-02,7.631,7.75,1.54736363045315
2010-03-03,7.57,7.738,2.1949307551607
2010-03-04,7.575,7.688,1.48070497281006
2010-03-05,7.686,7.731,0.583771161704611
2010-03-08,7.578,7.688,1.44111096554434
2010-03-09,7.82,7.9,1.01781170483461
2010-03-10,7.819,7.874,0.700949467915628
2010-03-11,8.125,8.25,1.52671755725191
2010-03-12,8.025,8.249,2.75285731842203
2010-03-15,7.813,7.838,0.319468404574792
2010-03-16,7.835,7.863,0.35673334182699
2010-03-17,7.756,7.781,0.32181244770547
2010-03-18,7.764,7.868,1.33060388945752
2010-03-19,7.701,7.738,0.479305654511313
2010-03-22,7.605,7.688,1.08546393774929
2010-03-23,7.65,7.675,0.326264274061983
2010-03-24,7.441,7.606,2.19312819831196
2010-03-25,7.563,7.625,0.816434026863317
2010-03-26,6.875,7.625,10.3448275862069
2010-03-29,7.5,7.75,3.27868852459016
2010-03-30,7.588,7.688,1.30924325739722
2010-03-31,7.75,7.938,2.39673635900051
2010-04-01,7.938,8.038,1.25187781672509
2010-04-02,7.938,8.038,1.25187781672509
2010-04-05,7.875,7.983,1.36208853575482
2010-04-06,7.8,7.863,0.804443593181391
2010-04-07,7.628,7.738,1.43173239619941
2010-04-08,7.564,7.625,0.803212851405622
2010-04-09,7.518,7.563,0.596777402029042
2010-04-12,7.306,7.325,0.259722507005675
2010-04-13,7.338,7.5,2.18358269308532
2010-04-14,7.394,7.438,0.593311758360296
2010-04-15,7.25,7.463,2.8953986270645
2010-04-16,7.25,7.499,3.37650010170181
2010-04-19,7.276,7.438,2.20198450455349
2010-04-20,7.389,7.738,4.6142658821974
2010-04-21,7.389,7.738,4.6142658821974
2010-04-22,7.473,7.5,0.360649168503308
2010-04-23,7.525,7.563,0.503711558854711
2010-04-26,7.42,7.563,1.90883000734165
2010-04-27,7.288,7.313,0.3424422984727
2010-04-28,7.188,7.25,0.858844715334538
2010-04-29,7.188,7.3,1.54610712313639
2010-04-30,7.063,7.581,7.07456978967496
2010-05-03,7.315,7.488,2.33736404782814
2010-05-04,7.145,7.275,1.80305131761444
2010-05-05,7.25,7.559,4.17313795664799
2010-05-06,7.075,7.438,5.00241163095155
2010-05-07,7.211,7.463,3.43464631320703
2010-05-10,6.904,7.625,9.92497763094501
2010-05-11,7.445,7.5,0.736032117765135
2010-05-12,7.375,7.625,3.33333333333333
2010-05-13,7.256,7.5,3.30712930333423
2010-05-14,7.25,7.618,4.95022867904224
2010-05-17,7.375,7.438,0.850604199014376
2010-05-18,7.175,7.375,2.74914089347079
2010-05-19,7.188,7.375,2.56815216644922
2010-05-20,7.001,7.374,5.1895652173913
2010-05-21,7,7.619,8.46843149326219
2010-05-24,7.375,7.56,2.47740207566119
2010-05-25,7.25,7.486,3.20304017372421
2010-05-26,7.313,7.5,2.52480928913792
2010-05-27,7.479,7.625,1.93326271186441
2010-05-28,7.4,7.551,2.01993177713865
2010-05-31,7.375,7.5,1.68067226890756
2010-06-01,7.254,7.375,1.6542484106911
2010-06-02,7.258,7.375,1.59912526481241
2010-06-03,7.258,7.375,1.59912526481241
2010-06-04,7.188,7.375,2.56815216644922
2010-06-07,7.126,7.375,3.43424591407489
2010-06-08,7.271,7.374,1.40662342096278
2010-06-09,7.128,7.188,0.838222967309299
2010-06-10,7.125,7.238,1.57348743298754
2010-06-11,7.065,7.313,3.4497148421199
2010-06-14,6.891,7.475,8.1303076708896
2010-06-15,7.5,7.625,1.65289256198347
2010-06-16,7.526,7.625,1.30684443271071
2010-06-17,7.388,7.625,3.15726370478918
2010-06-18,7.338,7.569,3.09921513382974
2010-06-21,7.563,7.749,2.4294670846395
2010-06-22,7.788,7.875,1.11089829534572
2010-06-23,8.063,8.25,2.29265003371543
2010-06-24,7.938,8.063,1.56240234985315
2010-06-25,7.875,8.125,3.125
2010-06-28,8.125,8.186,0.747961498375329
2010-06-29,7.944,8.234,3.58511558907158
2010-06-30,8.224,8.25,0.315648901299014
2010-07-01,8.125,8.25,1.52671755725191
2010-07-02,7.969,8.119,1.86474390850323
2010-07-05,7.665,7.969,3.88895995906358
2010-07-06,7.888,8,1.4098690835851
2010-07-07,7.771,8,2.90406442204046
2010-07-08,7.764,7.994,2.91915217667216
2010-07-09,7.764,7.994,2.91915217667216
2010-07-12,7.875,7.988,1.42469898505958
2010-07-13,7.876,7.988,1.41200201714574
2010-07-14,8.012,8.125,1.4005081489744
2010-07-15,8.125,8.375,3.03030303030303
2010-07-16,7.813,8.063,3.14940791131268
2010-07-19,7.838,8,2.04571284253062
2010-07-20,7.975,8.124,1.85104664886019
2010-07-21,7.831,8.25,5.21111871152291
2010-07-22,8.156,8.245,1.08529967684896
2010-07-23,7.625,8.3,8.47723704866563
2010-07-26,8.226,8.538,3.72226198997852
2010-07-27,8.564,8.613,0.570530360365599
2010-07-28,8.625,8.75,1.43884892086331
2010-07-29,8.939,9.113,1.92776423664967
2010-07-30,9.75,9.988,2.41159185327794
2010-08-02,9.458,9.875,4.3138674804738
2010-08-03,9.625,9.875,2.56410256410256
2010-08-04,9.75,9.806,0.572714256494162
2010-08-05,9.625,9.688,0.652410293584638
2010-08-06,9.458,9.625,1.75024891264476
2010-08-09,9.458,9.563,1.10404289995269
