"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,20.41,20.48,0.342382000489119
2010-01-05,20.6,20.75,0.725513905683185
2010-01-06,21.56,21.66,0.462748727441006
2010-01-07,21.82,21.9,0.365965233302828
2010-01-08,22.4,22.53,0.578677943467628
2010-01-11,22.05,22.14,0.407331975560081
2010-01-12,21.11,21.15,0.189304306672973
2010-01-13,20.85,20.87,0.0958772770853287
2010-01-14,21.5,21.69,0.87983329474416
2010-01-15,21.35,21.5,0.700116686114346
2010-01-18,20.92,21,0.381679389312969
2010-01-19,21.61,21.65,0.184928340268142
2010-01-20,21.6,21.7,0.46189376443417
2010-01-21,21.5,21.69,0.87983329474416
2010-01-22,21.33,21.4,0.327638661362042
2010-01-25,21.33,21.4,0.327638661362042
2010-01-26,20.66,21.04,1.82254196642685
2010-01-27,20.98,21.25,1.27871181624437
2010-01-28,21.66,21.75,0.414651002073254
2010-01-29,21.71,21.78,0.321913083467465
2010-02-01,22.39,22.5,0.490086879037645
2010-02-02,23.55,23.8,1.05596620908131
2010-02-03,23.81,23.95,0.586264656616418
2010-02-04,23.4,23.7,1.27388535031847
2010-02-05,21.88,21.89,0.0456933973040967
2010-02-08,21.5,21.7,0.925925925925923
2010-02-09,22.55,22.8,1.10253583241455
2010-02-10,21.98,22,0.0909504320145501
2010-02-11,22.05,22.16,0.497624971725851
2010-02-12,21.04,21.2,0.757575757575758
2010-02-15,21.04,21.2,0.757575757575758
2010-02-16,21.04,21.2,0.757575757575758
2010-02-17,21.79,21.8,0.0458820830465775
2010-02-18,22.55,22.58,0.132949257699967
2010-02-19,22.5,22.75,1.10497237569061
2010-02-22,22.8,22.9,0.437636761487956
2010-02-23,21.45,21.5,0.23282887077998
2010-02-24,21.21,21.3,0.423429781227946
2010-02-25,21.26,21.46,0.936329588014978
2010-02-26,21.23,21.57,1.58878504672897
2010-03-01,21.32,21.35,0.14061401453012
2010-03-02,21.11,21.15,0.189304306672973
2010-03-03,21.36,21.37,0.0468055230517274
2010-03-04,21.07,21.3,1.08567382582016
2010-03-05,21.55,21.6,0.231749710312865
2010-03-08,22.2,22.3,0.449438202247197
2010-03-09,21.88,21.89,0.0456933973040967
2010-03-10,21.9,22.06,0.72793448589627
2010-03-11,22.2,22.24,0.180018001800176
2010-03-12,21.85,21.86,0.045756119881025
2010-03-15,22.05,22.29,1.08254397834911
2010-03-16,22.75,22.81,0.263388937664612
2010-03-17,22.44,22.49,0.222568439795224
2010-03-18,21.92,22.2,1.2692656391659
2010-03-19,22.33,22.4,0.312989045383413
2010-03-22,21.91,22.15,1.08942351339082
2010-03-23,21.77,21.8,0.137709433096172
2010-03-24,21.09,21.1,0.0474045982460373
2010-03-25,20.52,20.7,0.873362445414846
2010-03-26,20.64,20.7,0.290275761973869
2010-03-29,20.72,20.75,0.144682903303598
2010-03-30,20.9,21,0.477326968973754
2010-03-31,21.75,21.8,0.229621125143516
2010-04-01,22.84,22.85,0.043773254541482
2010-04-02,22.84,22.85,0.043773254541482
2010-04-05,23.15,23.2,0.21574973031284
2010-04-06,24.3,24.49,0.778848124615691
2010-04-07,24.55,24.56,0.0407249032783466
2010-04-08,24.52,24.6,0.325732899022809
2010-04-09,23.9,23.91,0.0418322526668126
2010-04-12,24.18,24.3,0.495049504950499
2010-04-13,23.61,23.78,0.717450939016677
2010-04-14,23.58,23.65,0.296421765826806
2010-04-15,24.45,24.6,0.611620795107042
2010-04-16,23.86,23.9,0.167504187604687
2010-04-19,24.23,24.3,0.288481351741192
2010-04-20,24,24.08,0.332778702163054
2010-04-21,24,24.08,0.332778702163054
2010-04-22,23.5,23.75,1.05820105820106
2010-04-23,23.81,23.9,0.377279396352965
2010-04-26,24.1,24.25,0.620475698035154
2010-04-27,23.8,23.89,0.377437617949255
2010-04-28,24.1,24.16,0.2486531288852
2010-04-29,24.1,24.25,0.620475698035154
2010-04-30,24,24.02,0.0832986255726763
2010-05-03,24.19,24.35,0.659250103007829
2010-05-04,23.4,23.54,0.596506178099704
2010-05-05,23.25,23.5,1.06951871657754
2010-05-06,22.25,22.7,2.00222469410456
2010-05-07,21.6,21.8,0.921658986175112
2010-05-10,24.01,24.2,0.788218211989204
2010-05-11,23.85,23.95,0.418410041840995
