"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,9.66,9.67,0.103466114847385
2010-01-05,9.58,9.6,0.208550573514073
2010-01-06,9.71,9.73,0.205761316872424
2010-01-07,9.94,9.95,0.10055304172951
2010-01-08,9.96,9.97,0.100351229302557
2010-01-11,9.8,9.82,0.203873598369007
2010-01-12,9.55,9.56,0.104657247514388
2010-01-13,9.79,9.87,0.81383519837233
2010-01-14,10.5,10.6,0.947867298578196
2010-01-15,10.11,10.13,0.197628458498037
2010-01-18,10.33,10.34,0.096758587324623
2010-01-19,10.44,10.45,0.0957395883197682
2010-01-20,10.01,10.02,0.0998502246630033
2010-01-21,9.37,9.38,0.106666666666683
2010-01-22,9.56,9.58,0.208986415882963
2010-01-25,9.56,9.58,0.208986415882963
2010-01-26,9.25,9.28,0.323799244468423
2010-01-27,9.15,9.17,0.218340611353707
2010-01-28,9.28,9.29,0.107700592353256
2010-01-29,9.23,9.34,1.18470651588583
2010-02-01,9.47,9.5,0.316288877174479
2010-02-02,9.41,9.42,0.106213489113115
2010-02-03,9.6,9.61,0.104112441436749
2010-02-04,9.17,9.19,0.217864923747272
2010-02-05,9.01,9.02,0.110926234054351
2010-02-08,8.8,8.81,0.11357183418512
2010-02-09,9.03,9.05,0.221238938053112
2010-02-10,9.25,9.28,0.323799244468423
2010-02-11,9.24,9.25,0.108166576527851
2010-02-12,9.06,9.08,0.220507166482906
2010-02-15,9.06,9.08,0.220507166482906
2010-02-16,9.06,9.08,0.220507166482906
2010-02-17,9.28,9.3,0.215285252960187
2010-02-18,9.48,9.52,0.421052631578938
2010-02-19,9.53,9.57,0.418848167539277
2010-02-22,9.45,9.46,0.105764145954538
2010-02-23,9.31,9.35,0.428724544480162
2010-02-24,9.46,9.5,0.421940928270033
2010-02-25,9.41,9.45,0.424178154825017
2010-02-26,9.08,9.09,0.110071546505226
2010-03-01,9.19,9.2,0.108754758020661
2010-03-02,9.19,9.2,0.108754758020661
2010-03-03,9.4,9.44,0.424628450106148
2010-03-04,9.58,9.59,0.104329681794468
2010-03-05,9.49,9.5,0.105318588730909
2010-03-08,9.67,9.68,0.103359173126613
2010-03-09,9.61,9.64,0.311688311688324
2010-03-10,9.29,9.3,0.107584722969355
2010-03-11,9.13,9.14,0.109469074986314
2010-03-12,8.76,8.77,0.114090131203648
2010-03-15,8.62,8.63,0.115942028985525
2010-03-16,8.6,8.61,0.116211504938986
2010-03-17,8.23,8.24,0.121432908318152
2010-03-18,8.22,8.23,0.121580547112459
2010-03-19,7.8,7.81,0.128122998078152
2010-03-22,8.13,8.15,0.24570024570024
2010-03-23,8.02,8.03,0.124610591900309
2010-03-24,8.05,8.06,0.124146492861574
2010-03-25,7.86,7.88,0.254129606099105
2010-03-26,7.5,7.51,0.133244503664221
2010-03-29,7.81,7.82,0.127959053103016
2010-03-30,7.7,7.72,0.259403372243834
2010-03-31,7.93,7.95,0.251889168765749
2010-04-01,8.14,8.15,0.122774708410065
2010-04-02,8.14,8.15,0.122774708410065
2010-04-05,8.11,8.12,0.123228589032653
2010-04-06,7.85,7.86,0.127307447485686
2010-04-07,7.88,7.89,0.126823081800885
2010-04-08,8.23,8.24,0.121432908318152
2010-04-09,8.45,8.46,0.1182732111177
2010-04-12,8.46,8.47,0.118133490844652
2010-04-13,8.55,8.56,0.116890707188776
2010-04-14,8.56,8.57,0.11675423234092
2010-04-15,8.51,8.53,0.234741784037554
2010-04-16,8.42,8.44,0.237247924080659
2010-04-19,8.49,8.5,0.117716303708061
2010-04-20,8.65,8.66,0.115540150202193
2010-04-21,8.65,8.66,0.115540150202193
2010-04-22,8.32,8.33,0.120120120120118
2010-04-23,8.49,8.5,0.117716303708061
2010-04-26,8.41,8.43,0.237529691211396
2010-04-27,8.14,8.15,0.122774708410065
2010-04-28,8.07,8.08,0.123839009287923
2010-04-29,8.15,8.16,0.122624156958918
2010-04-30,8.17,8.18,0.122324159021404
2010-05-03,8.25,8.26,0.121138703815867
2010-05-04,8,8.01,0.124921923797624
2010-05-05,7.99,8,0.125078173858659
2010-05-06,7.73,7.75,0.258397932816532
2010-05-07,7.17,7.18,0.139372822299649
2010-05-10,7.23,7.24,0.138217000691082
2010-05-11,7.23,7.25,0.276243093922646
2010-05-12,7.47,7.48,0.133779264214056
2010-05-13,7.54,7.57,0.397088021178031
2010-05-14,7.28,7.3,0.274348422496565
2010-05-17,7.19,7.2,0.138985406532311
2010-05-18,6.95,6.97,0.287356321839074
2010-05-19,6.7,6.71,0.149142431021622
2010-05-20,6.38,6.4,0.312989045383419
2010-05-21,6.58,6.59,0.151860288534545
2010-05-24,6.82,6.83,0.146520146520143
2010-05-25,6.79,6.8,0.14716703458425
2010-05-26,7.17,7.2,0.417536534446768
2010-05-27,7.43,7.49,0.804289544235932
2010-05-28,7.18,7.19,0.139178844815597
2010-05-31,7.23,7.25,0.276243093922646
2010-06-01,7.35,7.36,0.135961930659425
2010-06-02,7.74,7.75,0.129115558424787
2010-06-03,7.74,7.75,0.129115558424787
2010-06-04,7.47,7.49,0.267379679144391
2010-06-07,7.6,7.61,0.131492439184756
2010-06-08,7.68,7.7,0.260078023407028
2010-06-09,7.37,7.4,0.406228842247803
2010-06-10,7.53,7.54,0.132714001327137
2010-06-11,7.63,7.65,0.261780104712048
2010-06-14,7.75,7.8,0.643086816720255
2010-06-15,8,8.05,0.623052959501566
2010-06-16,8.15,8.16,0.122624156958918
2010-06-17,7.97,7.98,0.125391849529789
2010-06-18,7.95,7.97,0.25125628140703
2010-06-21,7.98,7.99,0.125234815278645
2010-06-22,8.02,8.03,0.124610591900309
2010-06-23,8.1,8.12,0.246609124537603
2010-06-24,8.03,8.04,0.124455507156189
2010-06-25,8.1,8.11,0.123380629241206
2010-06-28,7.99,8,0.125078173858659
2010-06-29,7.62,7.64,0.262123197903009
2010-06-30,7.6,7.64,0.5249343832021
2010-07-01,7.87,7.9,0.380469245402666
2010-07-02,7.91,7.92,0.126342387871128
2010-07-05,7.72,7.73,0.129449838187711
2010-07-06,8.03,8.04,0.124455507156189
2010-07-07,8.01,8.03,0.249376558603486
2010-07-08,7.98,7.99,0.125234815278645
2010-07-09,7.98,7.99,0.125234815278645
2010-07-12,8.02,8.05,0.373366521468589
2010-07-13,8.04,8.05,0.124300807955271
2010-07-14,8.14,8.2,0.734394124846986
2010-07-15,8.39,8.43,0.475624256837089
2010-07-16,7.99,8,0.125078173858659
2010-07-19,8.06,8.1,0.495049504950484
2010-07-20,8.04,8.05,0.124300807955271
2010-07-21,7.93,7.94,0.126023944549473
2010-07-22,8.13,8.17,0.490797546012259
2010-07-23,8.35,8.38,0.358637178720874
2010-07-26,8.53,8.55,0.234192037470742
2010-07-27,8.55,8.58,0.35026269702276
2010-07-28,8.39,8.44,0.594177064765288
2010-07-29,8.5,8.56,0.703399765533417
2010-07-30,8.6,8.64,0.464037122969848
2010-08-02,8.8,8.85,0.566572237960328
2010-08-03,8.52,8.54,0.234466588511132
2010-08-04,8.56,8.57,0.11675423234092
2010-08-05,8.39,8.4,0.119118522930313
2010-08-06,8.3,8.33,0.360793746241724
2010-08-09,8.25,8.28,0.362976406533568
2010-08-10,8.11,8.12,0.123228589032653
