"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,6.026,6.048,0.364419413616038
2010-01-05,5.827,5.83,0.0514712190100388
2010-01-06,5.718,5.721,0.052452137424602
2010-01-07,5.653,5.665,0.212051599222486
2010-01-08,5.689,5.695,0.105411103302885
2010-01-11,5.763,5.8,0.639972325521057
2010-01-12,5.928,5.935,0.118013993087746
2010-01-13,5.995,6.003,0.133355559259877
2010-01-14,5.869,5.898,0.492903883742669
2010-01-15,5.662,5.665,0.0529707777875892
2010-01-18,5.718,5.751,0.575464295056245
2010-01-19,5.778,5.785,0.121075845368859
2010-01-20,5.561,5.597,0.645276931349713
2010-01-21,5.423,5.44,0.312989045383418
2010-01-22,5.364,5.372,0.14903129657228
2010-01-25,5.364,5.372,0.14903129657228
2010-01-26,5.309,5.319,0.188182160331197
2010-01-27,5.312,5.318,0.112888052681079
2010-01-28,5.246,5.319,1.38192143871272
2010-01-29,5.402,5.406,0.0740192450036928
2010-02-01,5.403,5.47,1.23241055826359
2010-02-02,5.512,5.515,0.0544118980683797
2010-02-03,5.805,5.826,0.361103946350269
2010-02-04,5.567,5.59,0.412297212512319
2010-02-05,5.515,5.564,0.884556367903247
2010-02-08,5.521,5.543,0.397686189443244
2010-02-09,5.477,5.515,0.691411935953409
2010-02-10,5.627,5.665,0.673042862203334
2010-02-11,5.657,5.665,0.141317788376612
2010-02-12,5.471,5.485,0.255567725447248
2010-02-15,5.471,5.485,0.255567725447248
2010-02-16,5.471,5.485,0.255567725447248
2010-02-17,5.561,5.602,0.734569560154087
2010-02-18,5.561,5.605,0.788106752641958
2010-02-19,5.539,5.56,0.378412469591853
2010-02-22,5.636,5.65,0.248094984937094
2010-02-23,5.893,5.905,0.203424309204958
2010-02-24,5.88,5.89,0.169923534409512
2010-02-25,5.824,5.89,1.12685675260372
2010-02-26,5.863,5.883,0.34054146092286
2010-03-01,6.078,6.086,0.131535679052943
2010-03-02,6.27,6.311,0.651776488355463
