"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,NA,NA,NA
2010-01-05,NA,NA,NA
2010-01-06,NA,NA,NA
2010-01-07,NA,NA,NA
2010-01-08,NA,NA,NA
2010-01-11,NA,NA,NA
2010-01-12,NA,NA,NA
2010-01-13,NA,NA,NA
2010-01-14,NA,NA,NA
2010-01-15,NA,NA,NA
2010-01-18,NA,NA,NA
2010-01-19,NA,NA,NA
2010-01-20,NA,NA,NA
2010-01-21,NA,NA,NA
2010-01-22,NA,NA,NA
2010-01-25,NA,NA,NA
2010-01-26,NA,NA,NA
2010-01-27,NA,NA,NA
2010-01-28,NA,NA,NA
2010-01-29,NA,NA,NA
2010-02-01,NA,NA,NA
2010-02-02,NA,NA,NA
2010-02-03,NA,NA,NA
2010-02-04,NA,NA,NA
2010-02-05,NA,NA,NA
2010-02-08,NA,NA,NA
2010-02-09,NA,NA,NA
2010-02-10,NA,NA,NA
2010-02-11,NA,NA,NA
2010-02-12,NA,NA,NA
2010-02-15,NA,NA,NA
2010-02-16,NA,NA,NA
2010-02-17,NA,NA,NA
2010-02-18,NA,NA,NA
2010-02-19,NA,NA,NA
2010-02-22,NA,NA,NA
2010-02-23,NA,NA,NA
2010-02-24,NA,NA,NA
2010-02-25,NA,NA,NA
2010-02-26,NA,NA,NA
2010-03-01,NA,NA,NA
2010-03-02,NA,NA,NA
2010-03-03,NA,NA,NA
2010-03-04,NA,NA,NA
2010-03-05,NA,NA,NA
2010-03-08,NA,NA,NA
2010-03-09,NA,NA,NA
2010-03-10,NA,NA,NA
2010-03-11,NA,NA,NA
2010-03-12,NA,NA,NA
2010-03-15,NA,NA,NA
2010-03-16,NA,NA,NA
2010-03-17,NA,NA,NA
2010-03-18,NA,NA,NA
2010-03-19,NA,NA,NA
2010-03-22,NA,NA,NA
2010-03-23,NA,NA,NA
2010-03-24,NA,NA,NA
2010-03-25,NA,NA,NA
2010-03-26,NA,NA,NA
2010-03-29,NA,NA,NA
2010-03-30,NA,NA,NA
2010-03-31,NA,NA,NA
2010-04-01,NA,NA,NA
2010-04-02,NA,NA,NA
2010-04-05,NA,NA,NA
2010-04-06,NA,NA,NA
2010-04-07,NA,NA,NA
2010-04-08,NA,NA,NA
2010-04-09,NA,NA,NA
2010-04-12,NA,NA,NA
2010-04-13,NA,NA,NA
2010-04-14,NA,NA,NA
2010-04-15,NA,NA,NA
2010-04-16,11.57,11.64,0.603188280913402
2010-04-19,11.55,11.56,0.0865426222414521
2010-04-20,11.55,11.6,0.43196544276457
2010-04-21,11.55,11.6,0.43196544276457
2010-04-22,11.5,11.51,0.0869187309865257
2010-04-23,11.41,11.5,0.785683107813181
2010-04-26,11.39,11.4,0.0877577885037278
2010-04-27,11.31,11.37,0.529100529100518
2010-04-28,11.4,11.45,0.437636761487956
2010-04-29,11.41,11.45,0.349956255468059
2010-04-30,11.44,11.89,3.85769395627948
2010-05-03,11.48,11.71,1.98361362656318
2010-05-04,11.4,11.5,0.873362445414844
2010-05-05,11.3,11.54,2.10157618213659
2010-05-06,11,11.6,5.30973451327433
2010-05-07,11.4,11.48,0.6993006993007
2010-05-10,11.42,11.61,1.65002171081198
2010-05-11,11.31,11.5,1.66593599298553
2010-05-12,11.5,11.9,3.41880341880342
2010-05-13,11.8,11.84,0.338409475465306
2010-05-14,11.5,11.8,2.57510729613734
2010-05-17,11.05,11.75,6.14035087719298
2010-05-18,11.43,11.65,1.90641247833623
2010-05-19,11.1,11.38,2.49110320284699
2010-05-20,10.63,10.65,0.187969924812026
2010-05-21,10.38,10.5,1.14942528735631
2010-05-24,10.01,10.48,4.58760370912641
2010-05-25,10.4,10.45,0.479616306954426
2010-05-26,10.5,10.55,0.47505938242281
2010-05-27,11.05,11.3,2.23713646532438
2010-05-28,10.56,11.5,8.5222121486854
2010-05-31,11.5,11.95,3.83795309168443
2010-06-01,11.51,11.9,3.33190944041009
2010-06-02,11.8,12.04,2.01342281879193
2010-06-03,11.8,12.04,2.01342281879193
2010-06-04,11.95,12,0.41753653444677
2010-06-07,11.91,12.09,1.5
2010-06-08,12.15,12.39,1.9559902200489
2010-06-09,12,12.2,1.65289256198347
2010-06-10,12.15,12.4,2.03665987780041
2010-06-11,12.1,12.3,1.63934426229509
2010-06-14,11.8,12.3,4.149377593361
2010-06-15,11.8,12.21,3.4152436484798
2010-06-16,12.4,12.5,0.80321285140562
2010-06-17,12.5,15.5,21.4285714285714
2010-06-18,13.15,13.19,0.30372057706909
2010-06-21,12.9,13.5,4.54545454545454
2010-06-22,13,13.1,0.766283524904212
2010-06-23,12.8,13.07,2.0873598763046
2010-06-24,12.62,13.2,4.49264136328428
2010-06-25,13.15,13.3,1.13421550094518
2010-06-28,13.6,13.7,0.73260073260073
2010-06-29,13.4,13.9,3.66300366300366
2010-06-30,13.28,13.65,2.74786483475678
