"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,12.496,12.505,0.0719971201151981
2010-01-05,12.323,12.332,0.0730075035489786
2010-01-06,12.514,12.541,0.215525843145089
2010-01-07,12.078,12.087,0.0744878957169488
2010-01-08,11.723,11.787,0.544449170565717
2010-01-11,11.841,11.887,0.387727579231298
2010-01-12,12.05,12.087,0.306583253925501
2010-01-13,11.914,11.932,0.150968715927205
2010-01-14,12.023,12.032,0.0748285179796329
2010-01-15,11.769,11.841,0.609911054637858
2010-01-18,11.905,11.978,0.611313486580416
2010-01-19,12.132,12.141,0.0741564701520236
2010-01-20,11.814,11.996,1.52876942461151
2010-01-21,11.36,11.396,0.316400070311139
2010-01-22,11.46,11.496,0.313643491897539
2010-01-25,11.46,11.496,0.313643491897539
2010-01-26,11.214,11.341,1.12613611172688
2010-01-27,11.278,11.296,0.159475502790812
2010-01-28,10.887,10.896,0.0826332461093545
2010-01-29,11.005,11.042,0.335646573229909
2010-02-01,11.269,11.305,0.318951005581639
2010-02-02,11.678,11.723,0.384598948762873
2010-02-03,11.505,11.587,0.710202667590499
2010-02-04,10.86,10.896,0.330943188086058
2010-02-05,10.814,10.878,0.59007929190485
2010-02-08,11.269,11.278,0.079833237237773
2010-02-09,11.66,11.678,0.154254863313058
2010-02-10,11.678,11.76,0.69971840600733
2010-02-11,12.05,12.141,0.752345913769578
2010-02-12,11.996,12.087,0.7557198023502
2010-02-15,11.996,12.087,0.7557198023502
2010-02-16,11.996,12.087,0.7557198023502
2010-02-17,12.141,12.178,0.304288827665618
2010-02-18,12.187,12.223,0.294961081523977
2010-02-19,12.205,12.223,0.147371868347803
2010-02-22,11.905,11.996,0.76147441529644
2010-02-23,11.56,11.578,0.155588209871198
2010-02-24,11.523,11.578,0.476169862776501
2010-02-25,11.714,11.814,0.850051003060181
2010-02-26,11.905,11.914,0.075569923170581
2010-03-01,12.032,12.078,0.381584404811276
2010-03-02,12.014,12.023,0.0748845529808241
2010-03-03,11.978,12.069,0.75685116646568
2010-03-04,11.905,11.941,0.301937431854411
2010-03-05,11.778,11.896,0.996874207991893
2010-03-08,11.451,11.487,0.313889615485217
2010-03-09,11.714,11.723,0.0768016384349562
2010-03-10,12.378,12.405,0.217891296453208
2010-03-11,12.405,12.441,0.289785076068593
2010-03-12,12.178,12.187,0.0738764621383014
2010-03-15,11.723,11.741,0.153426525741552
2010-03-16,12.041,12.078,0.306812056884606
2010-03-17,12.096,12.159,0.519480519480524
