"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,22.35,22.44,0.401875418620227
2010-01-05,22.3,22.5,0.89285714285714
2010-01-06,22.15,22.18,0.135348522445302
2010-01-07,21.85,21.89,0.182898948331043
2010-01-08,21.09,21.1,0.0474045982460373
2010-01-11,20.75,20.77,0.0963391136801521
2010-01-12,20.59,20.6,0.0485554746297721
2010-01-13,21.12,21.25,0.613641727637475
2010-01-14,21.16,21.3,0.659444182760248
2010-01-15,20.95,21.08,0.618605757792049
2010-01-18,20.88,21.1,1.04811815150073
2010-01-19,20.9,20.99,0.429696825017903
2010-01-20,20.2,20.28,0.395256916996057
2010-01-21,19.55,19.59,0.204394481348999
2010-01-22,19.42,19.48,0.308483290488425
2010-01-25,19.42,19.48,0.308483290488425
2010-01-26,19.36,19.78,2.14614205416455
2010-01-27,19.45,19.85,2.03562340966922
2010-01-28,20.15,20.43,1.37999014292756
2010-01-29,20.05,20.17,0.596718050721039
2010-02-01,20.06,20.31,1.2385434728759
2010-02-02,20,20.09,0.448989773010725
2010-02-03,19.8,19.99,0.955013822568473
2010-02-04,18.9,18.97,0.369685767097968
2010-02-05,18.2,18.6,2.17391304347827
2010-02-08,18.46,18.52,0.324499729583552
2010-02-09,18.5,18.6,0.53908355795149
2010-02-10,18.85,19.05,1.05540897097625
2010-02-11,18.91,19.06,0.790097445351586
2010-02-12,19.42,19.89,2.39124904604426
2010-02-15,19.42,19.89,2.39124904604426
2010-02-16,19.42,19.89,2.39124904604426
2010-02-17,19.55,19.94,1.97518359078248
2010-02-18,20.05,20.18,0.646283867760373
2010-02-19,20.05,20.08,0.14951407924245
2010-02-22,19.85,19.89,0.201308505284344
2010-02-23,19.46,19.7,1.22574055158324
2010-02-24,19.68,19.7,0.101574403250379
2010-02-25,19.65,19.7,0.254129606099114
2010-02-26,19.7,19.81,0.556821057960007
2010-03-01,19.85,19.88,0.151019380820526
2010-03-02,19.29,19.3,0.0518268981601532
2010-03-03,18.7,18.71,0.0534616412723954
2010-03-04,18.34,18.35,0.0545107658762691
2010-03-05,18.29,18.3,0.054659743099216
2010-03-08,18.55,18.6,0.269179004037689
2010-03-09,18.5,18.57,0.37766387914756
2010-03-10,18.8,18.9,0.530503978779829
2010-03-11,19.11,19.19,0.41775456919061
2010-03-12,19.2,19.28,0.415800415800425
