"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,10.2,10.325,1.21802679658953
2010-01-05,10.15,10.195,0.442369132464978
2010-01-06,10.105,10.375,2.63671875
2010-01-07,10.455,10.505,0.477099236641228
2010-01-08,10.4,10.495,0.909308446996878
2010-01-11,10.5,10.545,0.427655024946542
2010-01-12,10.45,10.48,0.286669851887254
2010-01-13,10.375,10.45,0.720288115246092
2010-01-14,10.375,10.4,0.240673886883277
2010-01-15,10.305,10.35,0.435729847494553
2010-01-18,10.19,10.25,0.587084148727989
2010-01-19,10.11,10.225,1.13105483157118
2010-01-20,9.9,10.15,2.49376558603491
2010-01-21,9.75,9.835,0.868011233086554
2010-01-22,9.66,9.745,0.876062870394219
2010-01-25,9.66,9.745,0.876062870394219
2010-01-26,9.5,9.665,1.72188885990085
2010-01-27,9.43,9.5,0.739566825145275
2010-01-28,9.33,9.47,1.48936170212767
2010-01-29,9.48,9.495,0.158102766798406
2010-02-01,9.45,9.495,0.475059382422802
2010-02-02,9.415,9.45,0.371057513914658
2010-02-03,9.485,9.5,0.158019489070325
2010-02-04,9.3,9.345,0.482703137570393
2010-02-05,9,9.05,0.554016620498623
2010-02-08,8.91,9,1.00502512562814
2010-02-09,9.05,9.06,0.110436223081168
2010-02-10,8.875,8.96,0.953181945612569
2010-02-11,8.825,8.85,0.282885431400287
2010-02-12,8.915,8.925,0.112107623318403
2010-02-15,8.915,8.925,0.112107623318403
2010-02-16,8.915,8.925,0.112107623318403
2010-02-17,9.025,9.1,0.827586206896544
2010-02-18,8.975,9,0.278164116828933
2010-02-19,9,9.04,0.443458980044336
2010-02-22,8.95,8.995,0.501532460295346
2010-02-23,8.875,8.925,0.561797752808997
2010-02-24,8.825,8.85,0.282885431400287
2010-02-25,8.9,8.975,0.839160839160831
2010-02-26,9.025,9.035,0.110741971207085
2010-03-01,9.25,9.3,0.53908355795149
2010-03-02,9.175,9.26,0.92215893680498
2010-03-03,9.2,9.325,1.34952766531714
2010-03-04,9.325,9.335,0.10718113612006
2010-03-05,9.25,9.3,0.53908355795149
2010-03-08,9.07,9.215,1.58599945310363
2010-03-09,9.17,9.365,2.10412732667926
2010-03-10,9.225,9.32,1.02453491507145
2010-03-11,9.15,9.175,0.27285129604366
2010-03-12,8.9,9,1.11731843575419
2010-03-15,8.9,8.965,0.727679820878808
2010-03-16,8.925,8.95,0.279720279720264
2010-03-17,8.95,9.025,0.834492350486799
