"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,5.554,5.577,0.413260264127207
2010-01-05,5.58,5.651,1.26435758169352
2010-01-06,6.037,6.092,0.906917305631127
2010-01-07,5.834,5.849,0.256783360438253
2010-01-08,5.823,5.889,1.12704918032787
2010-01-11,5.92,5.997,1.29227154485189
2010-01-12,6.043,6.092,0.807581376184582
2010-01-13,6.126,6.246,1.93986420950534
2010-01-14,6.14,6.172,0.519818063677713
2010-01-15,6.089,6.135,0.75261780104711
2010-01-18,6.235,6.278,0.687285223367686
2010-01-19,6.292,6.32,0.444021566761822
2010-01-20,6.049,6.12,1.16689949872627
2010-01-21,5.82,5.834,0.240260854642172
2010-01-22,5.777,5.806,0.500733834067166
2010-01-25,5.777,5.806,0.500733834067166
2010-01-26,5.837,5.863,0.444444444444456
2010-01-27,5.657,5.663,0.106007067137813
2010-01-28,5.52,5.537,0.30749751288777
2010-01-29,5.643,5.646,0.0531490831783172
2010-02-01,5.72,5.86,2.41796200345424
2010-02-02,5.817,5.829,0.206079340546103
2010-02-03,5.726,5.834,1.86851211072664
2010-02-04,5.397,5.405,0.148120718385484
2010-02-05,5.368,5.431,1.16677470136123
2010-02-08,5.291,5.297,0.113335851907808
2010-02-09,5.462,5.477,0.274248103117297
2010-02-10,5.663,5.691,0.493218249075208
2010-02-11,5.849,5.863,0.23907103825137
2010-02-12,5.751,5.82,1.1926367643246
2010-02-15,5.751,5.82,1.1926367643246
2010-02-16,5.751,5.82,1.1926367643246
2010-02-17,5.794,5.806,0.206896551724146
2010-02-18,5.869,5.934,1.10141489451835
2010-02-19,5.82,5.84,0.343053173241845
2010-02-22,5.72,5.791,1.23360264095214
2010-02-23,5.514,5.52,0.108754758020651
2010-02-24,5.508,5.58,1.2987012987013
2010-02-25,5.534,5.574,0.72020165646381
2010-02-26,5.617,5.634,0.302195360412414
2010-03-01,5.78,5.814,0.586510263929615
2010-03-02,5.869,5.92,0.865213334464334
2010-03-03,5.748,5.771,0.399340220505247
2010-03-04,5.663,5.668,0.0882534639484581
2010-03-05,5.591,5.66,1.22655763932095
2010-03-08,5.605,5.631,0.462798148807401
2010-03-09,5.751,5.771,0.347161951050158
2010-03-10,5.72,5.763,0.748933205608293
2010-03-11,5.668,5.677,0.158660202732472
2010-03-12,5.597,5.62,0.410091824908615
2010-03-15,5.571,5.614,0.768886902101031
2010-03-16,5.577,5.583,0.107526881720434
2010-03-17,5.608,5.611,0.0534807023798933
2010-03-18,5.583,5.591,0.143189547163057
2010-03-19,5.491,5.574,1.50022593764121
2010-03-22,5.505,5.52,0.272108843537409
2010-03-23,5.514,5.517,0.054392167527878
2010-03-24,5.448,5.457,0.165061898211819
2010-03-25,5.477,5.511,0.618856934838002
2010-03-26,5.428,5.448,0.367782272894455
2010-03-29,5.405,5.428,0.424628450106151
2010-03-30,5.362,5.377,0.279355619703877
2010-03-31,5.36,5.377,0.316662009872394
2010-04-01,5.334,5.371,0.691265763661855
2010-04-02,5.334,5.371,0.691265763661855
2010-04-05,5.434,5.451,0.312356453835544
2010-04-06,5.374,5.377,0.0558087619756323
2010-04-07,5.36,5.377,0.316662009872394
2010-04-08,5.322,5.354,0.599475458973399
2010-04-09,5.279,5.282,0.0568128018180118
2010-04-12,5.291,5.331,0.753153831670119
2010-04-13,5.365,5.397,0.594685002787587
2010-04-14,5.623,5.677,0.95575221238937
2010-04-15,5.583,5.634,0.90933404653651
2010-04-16,5.517,5.52,0.0543625985321958
2010-04-19,5.462,5.477,0.274248103117297
2010-04-20,5.319,5.345,0.487621905476365
2010-04-21,5.319,5.345,0.487621905476365
2010-04-22,5.448,5.477,0.530892448512584
2010-04-23,5.462,5.505,0.784170693899884
2010-04-26,5.523,5.551,0.505689001264231
2010-04-27,5.311,5.394,1.55067725361981
2010-04-28,5.314,5.331,0.319398778769382
2010-04-29,5.348,5.374,0.48498414474911
2010-04-30,5.577,5.58,0.0537778972842182
2010-05-03,5.58,5.617,0.660891310172366
2010-05-04,5.497,5.505,0.145428103981094
2010-05-05,5.514,5.534,0.362056480810999
2010-05-06,5.52,5.545,0.451875282422058
2010-05-07,5.234,5.237,0.0573011173717909
2010-05-10,5.531,5.548,0.30688690315011
2010-05-11,5.451,5.531,1.45692952103442
2010-05-12,5.488,5.503,0.272950595942129
2010-05-13,5.548,5.563,0.270002700026995
2010-05-14,5.448,5.465,0.311555026115632
2010-05-17,5.434,5.46,0.477326968973743
2010-05-18,5.374,5.377,0.0558087619756323
2010-05-19,5.177,5.274,1.85628169553154
2010-05-20,5.062,5.119,1.11973283567429
2010-05-21,5.228,5.348,2.26928895612708
2010-05-24,5.305,5.319,0.263554216867474
2010-05-25,5.162,5.245,1.59508023445758
2010-05-26,5.305,5.391,1.60807778608826
2010-05-27,5.548,5.551,0.0540589242274099
2010-05-28,5.414,5.417,0.0553965469485756
2010-05-31,5.388,5.462,1.36405529953917
2010-06-01,5.368,5.434,1.22199592668024
2010-06-02,5.474,5.528,0.981639701872376
2010-06-03,5.474,5.528,0.981639701872376
2010-06-04,5.351,5.368,0.317193768075387
2010-06-07,5.42,5.428,0.147492625368732
2010-06-08,5.551,5.56,0.16200162001619
2010-06-09,5.382,5.405,0.426439232409392
2010-06-10,5.457,5.474,0.311041990668747
2010-06-11,5.514,5.591,1.38676271949572
2010-06-14,5.594,5.62,0.463706081683606
2010-06-15,5.648,5.72,1.26671358198452
2010-06-16,5.766,5.803,0.639640418359407
2010-06-17,5.923,5.929,0.101248734390824
2010-06-18,6.034,6.077,0.710098257782184
2010-06-21,5.992,6.034,0.698486612339927
2010-06-22,5.946,5.957,0.18482735444846
2010-06-23,5.866,5.92,0.916341422026137
2010-06-24,5.794,5.826,0.550774526678142
2010-06-25,6.02,6.092,1.1889035667107
2010-06-28,6.177,6.206,0.468384074941465
2010-06-29,5.977,6.006,0.484019026954851
