"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,NA,NA,NA
2010-01-05,NA,NA,NA
2010-01-06,NA,NA,NA
2010-01-07,NA,NA,NA
2010-01-08,NA,NA,NA
2010-01-11,NA,NA,NA
2010-01-12,NA,NA,NA
2010-01-13,NA,NA,NA
2010-01-14,NA,NA,NA
2010-01-15,NA,NA,NA
2010-01-18,NA,NA,NA
2010-01-19,NA,NA,NA
2010-01-20,NA,NA,NA
2010-01-21,NA,NA,NA
2010-01-22,NA,NA,NA
2010-01-25,NA,NA,NA
2010-01-26,NA,NA,NA
2010-01-27,NA,NA,NA
2010-01-28,NA,NA,NA
2010-01-29,NA,NA,NA
2010-02-01,NA,NA,NA
2010-02-02,NA,NA,NA
2010-02-03,NA,NA,NA
2010-02-04,NA,NA,NA
2010-02-05,NA,NA,NA
2010-02-08,NA,NA,NA
2010-02-09,NA,NA,NA
2010-02-10,NA,NA,NA
2010-02-11,NA,NA,NA
2010-02-12,NA,NA,NA
2010-02-15,NA,NA,NA
2010-02-16,NA,NA,NA
2010-02-17,NA,NA,NA
2010-02-18,NA,NA,NA
2010-02-19,NA,NA,NA
2010-02-22,NA,NA,NA
2010-02-23,NA,NA,NA
2010-02-24,NA,NA,NA
2010-02-25,NA,NA,NA
2010-02-26,NA,NA,NA
2010-03-01,NA,NA,NA
2010-03-02,NA,NA,NA
2010-03-03,NA,NA,NA
2010-03-04,NA,NA,NA
2010-03-05,NA,NA,NA
2010-03-08,NA,NA,NA
2010-03-09,NA,NA,NA
2010-03-10,NA,NA,NA
2010-03-11,NA,NA,NA
2010-03-12,NA,NA,NA
2010-03-15,NA,NA,NA
2010-03-16,NA,NA,NA
2010-03-17,NA,NA,NA
2010-03-18,NA,NA,NA
2010-03-19,NA,NA,NA
2010-03-22,NA,NA,NA
2010-03-23,NA,NA,NA
2010-03-24,NA,NA,NA
2010-03-25,NA,NA,NA
2010-03-26,NA,NA,NA
2010-03-29,NA,NA,NA
2010-03-30,NA,NA,NA
2010-03-31,NA,NA,NA
2010-04-01,NA,NA,NA
2010-04-02,NA,NA,NA
2010-04-05,NA,NA,NA
2010-04-06,NA,NA,NA
2010-04-07,NA,NA,NA
2010-04-08,NA,NA,NA
2010-04-09,NA,NA,NA
2010-04-12,NA,NA,NA
2010-04-13,NA,NA,NA
2010-04-14,NA,NA,NA
2010-04-15,NA,NA,NA
2010-04-16,NA,NA,NA
2010-04-19,NA,NA,NA
2010-04-20,NA,NA,NA
2010-04-21,NA,NA,NA
2010-04-22,2,2.005,0.249687890137323
2010-04-23,2.003,2.005,0.0998003992015858
2010-04-26,2,2.003,0.149887584311772
2010-04-27,1.985,1.988,0.151019380820533
2010-04-28,1.975,1.988,0.656068634872566
2010-04-29,2,2.093,4.54434400195456
2010-04-30,2.038,2.083,2.18393593787917
2010-05-03,2.018,2.023,0.247463499133894
2010-05-04,2,2.023,1.14342530449914
2010-05-05,1.99,2,0.501253132832081
2010-05-06,1.95,1.998,2.43161094224924
2010-05-07,1.915,1.95,1.81112548512289
2010-05-10,2.015,2.05,1.72201722017219
2010-05-11,2.018,2.025,0.346277516695529
2010-05-12,2.063,2.075,0.579990333494442
2010-05-13,2.05,2.063,0.632141988815966
2010-05-14,2.003,2.025,1.09235352532273
2010-05-17,2.003,2.053,2.465483234714
2010-05-18,2,2.038,1.88211986131747
2010-05-19,2,2.03,1.48883374689825
2010-05-20,1.988,1.998,0.501756146512795
2010-05-21,1.95,1.995,2.28136882129278
2010-05-24,1.963,1.99,1.36605110043005
2010-05-25,1.85,1.875,1.34228187919463
2010-05-26,1.825,1.888,3.39348235927821
2010-05-27,1.875,1.9,1.32450331125827
2010-05-28,1.85,1.9,2.66666666666666
2010-05-31,1.903,1.975,3.7132542547705
2010-06-01,1.828,1.945,6.20196130400212
2010-06-02,1.865,1.963,5.12016718913271
2010-06-03,1.865,1.963,5.12016718913271
2010-06-04,1.963,2.02,2.86216419784082
2010-06-07,2.013,2.018,0.248077400148841
2010-06-08,1.953,1.963,0.510725229826354
2010-06-09,1.9,2.023,6.27071119041551
2010-06-10,1.9,2.025,6.36942675159236
2010-06-11,1.938,1.983,2.29533282325938
2010-06-14,1.938,2.013,3.7965072133637
2010-06-15,2.015,2.023,0.396235760277365
2010-06-16,1.98,2.013,1.65289256198347
2010-06-17,1.985,1.988,0.151019380820533
2010-06-18,1.963,1.988,1.26550240445456
2010-06-21,1.975,2.01,1.75658720200751
2010-06-22,2,2.015,0.747198007471986
2010-06-23,2.085,2.113,1.33396855645546
2010-06-24,2.05,2.075,1.21212121212123
2010-06-25,2.05,2.075,1.21212121212123
2010-06-28,2.025,2.075,2.43902439024392
2010-06-29,2.01,2.018,0.397219463753724
2010-06-30,2.05,2.07,0.970873786407768
2010-07-01,2.103,2.113,0.47438330170777
