"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,10.163,10.188,0.245688172571376
2010-01-05,10.278,10.3,0.213820585090876
2010-01-06,10.475,10.499,0.228854772575578
2010-01-07,10.394,10.404,0.0961630926050561
2010-01-08,10.363,10.381,0.173544157346709
2010-01-11,10.475,10.55,0.713436385255658
2010-01-12,10.5,10.506,0.0571265352756377
2010-01-13,10.338,10.45,1.07754473734847
2010-01-14,10.375,10.469,0.901938207637684
2010-01-15,10.319,10.4,0.781891017906265
2010-01-18,10.394,10.468,0.709423832806057
2010-01-19,10.45,10.488,0.362976406533578
2010-01-20,10.423,10.438,0.143809021619295
2010-01-21,10.363,10.425,0.596497979603629
2010-01-22,10.125,10.226,0.992580217188353
2010-01-25,10.125,10.226,0.992580217188353
2010-01-26,10.151,10.22,0.677433606597622
2010-01-27,10.125,10.188,0.620292423571118
2010-01-28,10.231,10.4,1.63831127914304
2010-01-29,10.313,10.368,0.531889173637636
2010-02-01,10.314,10.438,1.19506553585197
2010-02-02,10.35,10.388,0.366476998746265
2010-02-03,10.266,10.274,0.0778967867575377
2010-02-04,9.908,9.934,0.262070355810904
2010-02-05,10,10.156,1.54792617582854
2010-02-08,10.075,10.288,2.09202966164122
2010-02-09,10.4,10.463,0.603939989455005
2010-02-10,10.313,10.36,0.454699366323212
2010-02-11,10.231,10.246,0.146505835815799
2010-02-12,10.231,10.248,0.166023731627516
2010-02-15,10.231,10.248,0.166023731627516
2010-02-16,10.231,10.248,0.166023731627516
2010-02-17,10.19,10.275,0.830686537991701
2010-02-18,10.199,10.2,0.00980440217657185
2010-02-19,10.189,10.225,0.352699128049374
2010-02-22,10.156,10.248,0.901783963928629
2010-02-23,10.138,10.224,0.84471073568412
2010-02-24,10.159,10.225,0.64756671899528
2010-02-25,10.22,10.313,0.905858861345151
2010-02-26,10.075,10.078,0.0297722423460538
2010-03-01,10.064,10.1,0.357072009521916
2010-03-02,10.25,10.323,0.70966801147135
2010-03-03,10.339,10.438,0.952976849400782
2010-03-04,10.256,10.333,0.747972218174753
2010-03-05,10.413,10.416,0.0288059916462635
2010-03-08,10.5,10.55,0.47505938242281
2010-03-09,10.844,10.875,0.285464339978826
2010-03-10,10.875,10.931,0.513620104558371
2010-03-11,10.75,10.803,0.491810884795628
2010-03-12,10.484,10.55,0.627555386517075
2010-03-15,10.455,10.483,0.26745629955106
2010-03-16,10.601,10.623,0.20731247644175
2010-03-17,10.688,10.71,0.205626694083561
2010-03-18,10.645,10.788,1.33439089254888
2010-03-19,10.401,10.51,1.04251350963608
2010-03-22,10.563,10.624,0.575824798225326
2010-03-23,10.65,10.675,0.23446658851114
2010-03-24,10.4,10.475,0.71856287425149
2010-03-25,10.506,10.561,0.522143636967767
2010-03-26,10.55,10.588,0.359542056959017
2010-03-29,10.726,10.75,0.223505308251063
2010-03-30,10.713,10.75,0.344779387783635
2010-03-31,10.625,10.688,0.591188476516686
2010-04-01,10.676,10.688,0.11233851338701
2010-04-02,10.676,10.688,0.11233851338701
2010-04-05,10.489,10.556,0.636730814920393
2010-04-06,10.635,10.729,0.879985021531543
2010-04-07,10.594,10.625,0.292190960931246
2010-04-08,10.724,10.819,0.881957016200164
2010-04-09,10.6,10.674,0.695684873554572
2010-04-12,10.463,10.5,0.353002909888859
