"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,25,29.97,18.0825905039112
2010-01-05,25.3,29.97,16.8988601411254
2010-01-06,24,25.3,5.2738336713996
2010-01-07,24.5,26,5.94059405940594
2010-01-08,24.5,25,2.02020202020202
2010-01-11,24.5,25.5,4
2010-01-12,23,24,4.25531914893617
2010-01-13,23,25.5,10.3092783505155
2010-01-14,23,25.99,12.206572769953
2010-01-15,24.2,25.5,5.23138832997988
2010-01-18,24.5,25.98,5.86370839936609
2010-01-19,25,25.9,3.53634577603143
2010-01-20,25,25.5,1.98019801980198
2010-01-21,24.5,25,2.02020202020202
2010-01-22,24.8,26,4.72440944881889
2010-01-25,24.8,26,4.72440944881889
2010-01-26,23,25.07,8.61244019138756
2010-01-27,23.01,26.62,14.547652629458
2010-01-28,23.01,26,12.2015915119363
2010-01-29,23.5,26,10.1010101010101
2010-02-01,24,25.5,6.06060606060606
2010-02-02,23.01,25.5,10.2659245516388
2010-02-03,24.8,26,4.72440944881889
2010-02-04,24.8,25.5,2.78330019880715
2010-02-05,24.8,28.95,15.4418604651163
2010-02-08,23.01,28.93,22.7955333076627
2010-02-09,24.8,26,4.72440944881889
2010-02-10,25,26.49,5.78753155952612
2010-02-11,25.5,27.98,9.27449513836948
2010-02-12,25,27.99,11.2851481411587
2010-02-15,25,27.99,11.2851481411587
2010-02-16,25,27.99,11.2851481411587
2010-02-17,25,27.97,11.2138946573532
2010-02-18,25.5,27.5,7.54716981132075
2010-02-19,24,27.48,13.5198135198135
2010-02-22,25,27.97,11.2138946573532
2010-02-23,25,26.47,5.71206528074606
2010-02-24,25,26,3.92156862745098
2010-02-25,24.5,25,2.02020202020202
2010-02-26,24.5,25.9,5.55555555555555
2010-03-01,24.5,25,2.02020202020202
2010-03-02,24.7,25,1.20724346076459
2010-03-03,24,26,8
2010-03-04,24.6,25.99,5.49515714568095
2010-03-05,24.5,26,5.94059405940594
2010-03-08,24,25.99,7.96159231846369
2010-03-09,24.01,25.98,7.88157631526305
2010-03-10,24.1,25.99,7.54641645038929
2010-03-11,24.01,25,4.03999183840032
2010-03-12,24.8,26,4.72440944881889
2010-03-15,24.8,25.99,4.68596180350462
2010-03-16,24.01,26,7.95840831833633
2010-03-17,24.01,25,4.03999183840032
2010-03-18,25,25.5,1.98019801980198
2010-03-19,24.8,25,0.80321285140562
2010-03-22,24.8,25,0.80321285140562
2010-03-23,24.6,26,5.53359683794466
2010-03-24,24.01,25,4.03999183840032
2010-03-25,24.01,24.9,3.63933755878142
2010-03-26,24.5,24.9,1.61943319838056
2010-03-29,24.65,24.9,1.00908173562059
2010-03-30,24.7,24.99,1.16723686858523
2010-03-31,24,28,15.3846153846154
2010-04-01,24,25,4.08163265306122
2010-04-02,24,25,4.08163265306122
2010-04-05,24,25,4.08163265306122
2010-04-06,24,25.5,6.06060606060606
2010-04-07,24,25.5,6.06060606060606
2010-04-08,24,25,4.08163265306122
2010-04-09,24.01,24.99,3.99999999999999
2010-04-12,24,25,4.08163265306122
2010-04-13,23.51,25.98,9.98181450798141
2010-04-14,23.51,25,6.14306328592042
2010-04-15,23.51,25.98,9.98181450798141
2010-04-16,23.6,24,1.68067226890756
2010-04-19,24,25,4.08163265306122
2010-04-20,23.01,25,8.28993959591751
2010-04-21,23.01,25,8.28993959591751
2010-04-22,23.01,25,8.28993959591751
2010-04-23,23.02,26,12.1583027335781
2010-04-26,22.8,24,5.12820512820513
2010-04-27,22.45,23.5,4.57018498367791
2010-04-28,22.11,22.99,3.90243902439024
2010-04-29,22.11,26,16.1712741633756
2010-04-30,22.11,25,12.2691572914456
2010-05-03,22.11,25,12.2691572914456
2010-05-04,20.5,26,23.6559139784946
2010-05-05,20.5,23,11.4942528735632
2010-05-06,19,23,19.047619047619
2010-05-07,19,23,19.047619047619
2010-05-10,19,24.99,27.2334621504887
2010-05-11,19,25,27.2727272727273
2010-05-12,19,25,27.2727272727273
2010-05-13,20,25,22.2222222222222
2010-05-14,19,24.9,26.879271070615
2010-05-17,19,22,14.6341463414634
2010-05-18,19,25,27.2727272727273
2010-05-19,19,24,23.2558139534884
2010-05-20,19,23,19.047619047619
2010-05-21,19,23,19.047619047619
2010-05-24,19,25,27.2727272727273
2010-05-25,19,23,19.047619047619
2010-05-26,19,23,19.047619047619
2010-05-27,19.5,24.99,24.6797033041133
2010-05-28,19,24.99,27.2334621504887
2010-05-31,19,25,27.2727272727273
2010-06-01,20,21,4.8780487804878
2010-06-02,20.3,24,16.7042889390519
2010-06-03,20.3,24,16.7042889390519
2010-06-04,20.3,21.5,5.74162679425837
2010-06-07,20,21.5,7.2289156626506
2010-06-08,20,21.5,7.2289156626506
2010-06-09,20,21.5,7.2289156626506
2010-06-10,20.3,21.5,5.74162679425837
2010-06-11,20.3,21,3.38983050847457
2010-06-14,20.4,21,2.89855072463769
2010-06-15,19.01,25,27.2210861167916
2010-06-16,20.5,22.99,11.4509082547712
2010-06-17,19.08,23,18.6311787072243
2010-06-18,20.5,21.5,4.76190476190476
2010-06-21,20,25,22.2222222222222
2010-06-22,20,22,9.52380952380952
2010-06-23,20.01,22,9.47393477743394
2010-06-24,21,21.9,4.19580419580419
2010-06-25,21,22,4.65116279069767
2010-06-28,20.05,21,4.62850182704019
2010-06-29,20,21,4.8780487804878
2010-06-30,20.35,21,3.14389359129383
2010-07-01,20.35,21.5,5.4958183990442
2010-07-02,20,21.5,7.2289156626506
2010-07-05,20,21,4.8780487804878
2010-07-06,20,20.99,4.83044645035374
2010-07-07,20,21.3,6.2953995157385
2010-07-08,19.5,21.3,8.82352941176471
2010-07-09,19.5,21.3,8.82352941176471
2010-07-12,20.35,21.3,4.56182472989195
2010-07-13,20,21.5,7.2289156626506
2010-07-14,19.5,21.5,9.75609756097561
2010-07-15,20,21.3,6.2953995157385
2010-07-16,19.6,21.5,9.24574209245741
2010-07-19,19.5,21.3,8.82352941176471
2010-07-20,19.6,21.5,9.24574209245741
2010-07-21,19.5,21.3,8.82352941176471
2010-07-22,20.11,21.3,5.74740400869356
2010-07-23,20.01,21.3,6.24546114742193
2010-07-26,19.5,21.5,9.75609756097561
2010-07-27,19.5,21.3,8.82352941176471
2010-07-28,20.02,21.5,7.12909441233141
2010-07-29,20.05,21.3,6.0459492140266
2010-07-30,20,21.5,7.2289156626506
2010-08-02,20,21.45,6.99638118214716
2010-08-03,20.1,21.4,6.26506024096384
2010-08-04,20.1,21.45,6.49819494584836
2010-08-05,20,21.5,7.2289156626506
2010-08-06,20,21.9,9.06921241050119
2010-08-09,20,21.9,9.06921241050119
2010-08-10,20,20.9,4.40097799511002
2010-08-11,19.5,22.9,16.0377358490566
2010-08-12,20,24.99,22.1827072682818
2010-08-13,20.05,22.45,11.2941176470588
2010-08-16,19.58,23.9,19.8712051517939
2010-08-17,20,23.9,17.7676537585421
2010-08-18,21,23,9.09090909090909
2010-08-19,21,24.99,17.351598173516
2010-08-20,21,22.5,6.89655172413793
2010-08-23,21,23.9,12.9175946547884
2010-08-24,21,22.9,8.65603644646924
2010-08-25,20.6,22,6.57276995305164
2010-08-26,20.5,23,11.4942528735632
2010-08-27,20.5,24.99,19.7406023301825
2010-08-30,20.5,23.5,13.6363636363636
2010-08-31,20.5,22.49,9.25796696906257
2010-09-01,20.55,22.3,8.16802800466744
2010-09-02,20.51,24,15.6818692428668
2010-09-03,20.5,23.5,13.6363636363636
2010-09-06,20.5,23.5,13.6363636363636
2010-09-07,20.5,23.5,13.6363636363636
2010-09-08,20.5,23.5,13.6363636363636
2010-09-09,19.71,22.3,12.330397524399
2010-09-10,19.53,20,2.37794080445231
2010-09-13,19.5,23.05,16.6862514688602
2010-09-14,19.02,22,14.5294978059483
2010-09-15,19.5,22,12.0481927710843
2010-09-16,19.52,22,11.9460500963391
2010-09-17,19.6,22,11.5384615384615
2010-09-20,19.5,22,12.0481927710843
2010-09-21,19.56,21.3,8.51688693098386
2010-09-22,19.6,21,6.89655172413792
2010-09-23,19.5,21,7.40740740740741
2010-09-24,19.5,21,7.40740740740741
2010-09-27,19.02,21,9.89505247376312
2010-09-28,19.56,20.99,7.05302096177558
2010-09-29,19.53,21,7.25388601036269
2010-09-30,19.55,20.5,4.74406991260924
2010-10-01,19.5,20.5,5
2010-10-04,19.5,20.5,5
2010-10-05,19.5,20.5,5
2010-10-06,19.54,20.5,4.7952047952048
2010-10-07,17,19,11.1111111111111
2010-10-08,17,20.5,18.6666666666667
2010-10-11,15,20.5,30.9859154929577
2010-10-12,15,20.5,30.9859154929577
2010-10-13,18.9,19,0.527704485488134
2010-10-14,18.9,19,0.527704485488134
2010-10-15,15,19,23.5294117647059
2010-10-18,18.7,19,1.59151193633953
2010-10-19,15,19,23.5294117647059
2010-10-20,15,19,23.5294117647059
2010-10-21,18.8,19,1.05820105820105
2010-10-22,14,19,30.3030303030303
2010-10-25,15,19,23.5294117647059
2010-10-26,14.1,19,29.607250755287
2010-10-27,18.5,19,2.66666666666667
2010-10-28,14,19,30.3030303030303
2010-10-29,15,19,23.5294117647059
2010-11-01,14,19,30.3030303030303
2010-11-02,14,19,30.3030303030303
2010-11-03,18.56,19,2.34291799787008
2010-11-04,18.7,19,1.59151193633953
2010-11-05,16.85,19,11.9944211994421
2010-11-08,18.7,19,1.59151193633953
2010-11-09,19.57,21.9,11.2370388232457
2010-11-10,19.5,21.9,11.5942028985507
2010-11-11,19.05,20,4.86555697823303
2010-11-12,19.6,21,6.89655172413792
2010-11-15,19.6,21,6.89655172413792
2010-11-16,19.51,21,7.35620834361885
2010-11-17,19.7,21,6.38820638820639
2010-11-18,19.5,22,12.0481927710843
2010-11-19,19,19.8,4.12371134020619
2010-11-22,19,22,14.6341463414634
2010-11-23,19,22,14.6341463414634
2010-11-24,19,20.5,7.59493670886076
2010-11-25,19,22,14.6341463414634
2010-11-26,19.03,21.5,12.1885023439428
2010-11-29,19.01,20.5,7.54239433054922
2010-11-30,19.01,20.5,7.54239433054922
2010-12-01,19.01,20.5,7.54239433054922
2010-12-02,19.5,20.5,5
2010-12-03,19.51,20,2.48038471273095
2010-12-06,19.5,22,12.0481927710843
2010-12-07,19.5,22,12.0481927710843
2010-12-08,20.61,21,1.87454938716655
2010-12-09,21.01,22,4.60358056265984
2010-12-10,21.5,23,6.74157303370786
2010-12-13,21.8,23.97,9.48219357657854
2010-12-14,21.5,23,6.74157303370786
2010-12-15,21.2,23,8.1447963800905
2010-12-16,22,23,4.44444444444444
2010-12-17,22,23,4.44444444444444
2010-12-20,21.81,22.5,3.1144211238998
2010-12-21,21.51,22.5,4.49897750511247
2010-12-22,22.6,22.7,0.44150110375275
2010-12-23,19.5,22.7,15.1658767772512
2010-12-24,19.5,22.7,15.1658767772512
2010-12-27,23.12,23.5,1.63020163020163
2010-12-28,24.5,25,2.02020202020202
2010-12-29,26,27,3.77358490566038
2010-12-30,27,28.5,5.40540540540541
2010-12-31,27,28.5,5.40540540540541
2011-01-03,25.88,27.8,7.15350223546946
2011-01-04,26.6,27.5,3.3271719038817
2011-01-05,28.1,28.99,3.11788404273952
2011-01-06,27.4,28.8,4.98220640569396
2011-01-07,27.52,28.2,2.44077530509691
2011-01-10,27.4,28.2,2.87769784172662
2011-01-11,26.04,27.12,4.06320541760723
