"Dates","Bid_Price","Ask_Price","Bid_Ask_Spread_Pct"
2010-01-04,8.07,8.233,1.99963196957615
2010-01-05,8,8.167,2.06593678480856
2010-01-06,7.933,8.3,4.52165342204153
2010-01-07,7.92,8.167,3.07080251134456
2010-01-08,8.167,8.2,0.403250442964495
2010-01-11,8.007,8.167,1.97848398664523
2010-01-12,7.333,7.8,6.1719421132624
2010-01-13,7.67,8.167,6.27644124518532
2010-01-14,7.5,7.617,1.54792617582854
2010-01-15,7.6,7.613,0.170906461578923
2010-01-18,7.507,7.697,2.49934227834781
2010-01-19,7.55,7.6,0.660066006600658
2010-01-20,7.333,7.417,1.13898305084745
2010-01-21,7.1,7.197,1.35692802685879
2010-01-22,7.083,7.15,0.941474039204668
2010-01-25,7.083,7.15,0.941474039204668
2010-01-26,7.033,7.08,0.666052575639477
2010-01-27,7.067,7.267,2.7905678805637
2010-01-28,7.297,7.6,4.06793314090085
2010-01-29,7.5,7.567,0.889360854848346
2010-02-01,7.733,7.8,0.862679456640703
2010-02-02,7.537,7.6,0.832397436744397
2010-02-03,7.367,7.6,3.11351640275272
2010-02-04,6.967,7.2,3.2893343686031
2010-02-05,6.7,6.997,4.33671606921223
2010-02-08,6.783,6.967,2.67636363636363
2010-02-09,6.983,7.023,0.571183778380694
2010-02-10,7.083,7.217,1.87412587412587
2010-02-11,7.103,7.233,1.81361607142857
2010-02-12,7.107,7.5,5.38098172109262
2010-02-15,7.107,7.5,5.38098172109262
2010-02-16,7.107,7.5,5.38098172109262
2010-02-17,7.237,7.383,1.99726402188782
2010-02-18,7.25,7.383,1.81780906170983
2010-02-19,7.35,7.383,0.447973936061907
2010-02-22,7.383,7.567,2.46153846153846
2010-02-23,7.367,7.433,0.89189189189189
2010-02-24,7.37,7.5,1.74848688634835
2010-02-25,7.31,7.463,2.07134637514385
2010-02-26,7.433,7.5,0.897341458514701
2010-03-01,7.387,7.533,1.95710455764076
2010-03-02,7.2,7.567,4.97054242567888
2010-03-03,7,7.167,2.35759158608032
2010-03-04,7,7.167,2.35759158608032
2010-03-05,7.167,7.3,1.83866731181309
2010-03-08,7.167,7.293,1.74273858921162
2010-03-09,6.907,7.123,3.07911617961511
2010-03-10,7.167,7.65,6.51953836809071
2010-03-11,6.913,6.917,0.0578452639190103
2010-03-12,6.823,6.883,0.8755289654166
2010-03-15,6.783,6.96,2.57585679982536
2010-03-16,6.833,6.933,1.4528548597995
