Company_Code;Inicio_negociacao;Gov_Corp;Class_Setor;Ativ_Principal;Faturamento_2023;;;;Código;Ação;Tipo;
TTEN3;12/07/2021;NM;Consumo não Cíclico / Agropecuária / Agricultura;"Varejo de insumos agrícolas; Recebimento e comercialização de grãos de soja. milho e trigo; e Indústria. na cadeia de soja.";8.998.985.000;;;;TTEN3;3TENTOS;ON      NM;NM
ABCB4;25/07/2007;N2; Financeiro / Intermediários Financeiros / Bancos;Banco;5.972.038.000;;;;AERI3;AERIS;ON      NM;NM
AESB3;29/03/2021;NM;Utilidade Pública / Energia Elétrica / Energia Elétrica;Holdings de instituições não-financeiras;3.431.516.000;;;;AALR3;ALLIAR;ON  ES  NM;NM
ALOS3;03/02/2011;NM;Financeiro / Exploração de Imóveis / Exploração de Imóveis;Planejamento. desenvolvimento. implantação e investimentos na área imobiliária. nomeadamente em Shopping Centers e a participação em outras sociedades e/ou em fundos de investimento imobiliário.;2.712.274.000;;;;ALLD3;ALLIED;ON      NM;NM
ALPA4;20/07/1977;N1;Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados;Indústria e comércio de calçados e artigos esportivos;3.734.146.000;;;;ALOS3;ALLOS;ON      NM;NM
ALUP11;24/04/2013;N2;Utilidade Pública / Energia Elétrica / Energia Elétrica;"a participação em outras sociedades atuantes nos setores de energia e infra-estrutura. no Brasil ou no exterior; a geração. transformação. transporte. a distribuiçãoe o comércio de energia.";3.311.381.000;;;;AVLL3;ALPHAVILLE;ON      NM;NM
ABEV3;11/11/2013;N2; Consumo não Cíclico / Bebidas / Cervejas e Refrigerantes ;Fabricação e distribuição de cervejas. refrigerantes e bebidas não carbonatadas e não alcoólicas.;79.736.856.000;;;;AMBP3;AMBIPAR;ON      NM;NM
AMBP3;13/07/2020;NM;Utilidade Pública / Água e Saneamento / Água e Saneamento;Gerenciamento e valorização de resíduos. bem como. prestação de serviços de atendimento a emergência.;4.872.707.000;;;;ANIM3;ANIMA;ON      NM;NM
AMER3;08/08/2007;NM;Consumo Cíclico / Comércio / Produtos Diversos;Comércio varejista e atacadista em geral de quaisquer bens e serviços por meio de diversos meios. em especial. da Internet e de lojas físicas. sem restrição a outros meios.;14.942.000.000;;;;ARML3;ARMAC;ON      NM;NM
ANIM3;28/10/2013;NM;Consumo Cíclico / Diversos / Serviços Educacionais;Administração. direta ou indireta. de atividade de instituições de 3º e 4º graus. educação profissional.;3.732.940.000;;;;ASAI3;ASSAI;ON      NM;NM
ASAI3;01/03/2021;NM;Consumo não Cíclico / Comércio e Distribuição / Alimentos;Atacadista de autosserviços;66.503.000.000;;;;AURE3;AUREN;ON      NM;NM
AURE3;;NM;;;;;;;AZZA3;AZZAS 2154;ON      NM;NM
AZUL4;;;;;;;;;B3SA3;B3;ON      NM;NM
AZZA3;;NM;;;;;;;BBSE3;BBSEGURIDADE;ON      NM;NM
B3SA3;;NM;;;;;;;BMOB3;BEMOBI TECH;ON      NM;NM
BPAN4;;;;;;;;;BLAU3;BLAU;ON      NM;NM
BRSR6;;;;;;;;;SOJA3;BOA SAFRA;ON      NM;NM
BBSE3;;NM;;;;;;;BBAS3;BRASIL;ON  EJ  NM;NM
BBDC3;;NM;;;;;;;AGRO3;BRASILAGRO;ON      NM;NM
BBDC4;;;;;;;;;BRAV3;BRAVA;ON      NM;NM
BRAP4;;;;;;;;;BRFS3;BRF SA;ON  EJ  NM;NM
BBAS3;;NM;;;;;;;BRIT3;BRISANET;ON      NM;NM
BRKM5;;;;;;;;;CXSE3;CAIXA SEGURI;ON      NM;NM
BRAV3;;NM;;;;;;;CAML3;CAMIL;ON  EDJ NM;NM
BRFS3;;NM;;;;;;;CRFB3;CARREFOUR BR;ON      NM;NM
BPAC11;;0;;;;;;;BHIA3;CASAS BAHIA;ON      NM;NM
CXSE3;;NM;;;;;;;CBAV3;CBA;ON      NM;NM
CRFB3;;NM;;;;;;;CCRO3;CCR SA;ON      NM;NM
BHIA3;;0;;;;;;;CEAB3;CEA MODAS;ON      NM;NM
CBAV3;;NM;;;;;;;CLSA3;CLEARSALE;ON      NM;NM
CCRO3;;NM;;;;;;;COGN3;COGNA ON;ON      NM;NM
CEAB3;;NM;;;;;;;CSMG3;COPASA;ON      NM;NM
CMIG4;;0;;;;;;;CSAN3;COSAN;ON      NM;NM
COGN3;;NM;;;;;;;CPFE3;CPFL ENERGIA;ON      NM;NM
CSMG3;;NM;;;;;;;CSED3;CRUZEIRO EDU;ON      NM;NM
CPLE3;;0;;;;;;;CSUD3;CSU DIGITAL;ON      NM;NM
CPLE6;;0;;;;;;;CURY3;CURY S/A;ON      NM;NM
CSAN3;;NM;;;;;;;CVCB3;CVC BRASIL;ON      NM;NM
CPFE3;;0;;;;;;;CYRE3;CYRELA REALT;ON      NM;NM
CMIN3;;0;;;;;;;DMVF3;D1000VFARMA;ON      NM;NM
CURY3;;NM;;;;;;;DASA3;DASA;ON      NM;NM
CVCB3;;NM;;;;;;;DESK3;DESKTOP;ON      NM;NM
CYRE3;;NM;;;;;;;DXCO3;DEXCO;ON      NM;NM
DXCO3;;NM;;;;;;;PNVL3;DIMED;ON      NM;NM
DIRR3;;NM;;;;;;;DIRR3;DIRECIONAL;ON      NM;NM
ECOR3;;NM;;;;;;;DOTZ3;DOTZ SA;ON      NM;NM
ELET3;;0;;;;;;;ECOR3;ECORODOVIAS;ON      NM;NM
