"Date","EMBR3.SA.Open","EMBR3.SA.High","EMBR3.SA.Low","EMBR3.SA.Close","EMBR3.SA.Volume","EMBR3.SA.Adjusted"
2017-01-02,15.8999996185303,16,15.8400001525879,16,563200,15.6160860061646
2017-01-03,16,16.3600006103516,16,16.3600006103516,2032500,15.9674463272095
2017-01-04,16.2000007629395,16.3899993896484,16.0699996948242,16.1700000762939,1351000,15.7820072174072
2017-01-05,16.1800003051758,16.5,16.0900001525879,16.5,1358500,16.1040878295898
2017-01-06,16.5,16.5799999237061,16.3099994659424,16.5799999237061,1040200,16.1821670532227
2017-01-09,16.5900001525879,16.7000007629395,16.3299999237061,16.6200008392334,1279700,16.2212104797363
2017-01-10,16.6200008392334,16.8899993896484,16.2800006866455,16.4500007629395,1658900,16.055290222168
2017-01-11,16.4799995422363,16.7700004577637,16.3999996185303,16.75,1559300,16.3480930328369
2017-01-12,16.7199993133545,16.8500003814697,16.4099998474121,16.4899997711182,3042400,16.0943260192871
2017-01-13,16.5,16.9699993133545,16.5,16.7999992370605,2287200,16.3968849182129
2017-01-16,16.9799995422363,17.1200008392334,16.8600006103516,17.1000003814697,1103500,16.6896915435791
2017-01-17,17.1100006103516,17.6499996185303,16.9599990844727,17.4899997711182,2581800,17.0703353881836
2017-01-18,17.5799999237061,17.7099990844727,17.4099998474121,17.6000003814697,2445700,17.1776943206787
2017-01-19,17.6599998474121,17.7900009155273,17.2199993133545,17.6499996185303,1824500,17.2264919281006
2017-01-20,17.6499996185303,18.0799999237061,17.5599994659424,18,2229500,17.5680961608887
2017-01-23,17.9099998474121,18.4500007629395,17.9099998474121,18.2099990844727,2194100,17.7730560302734
2017-01-24,18.2099990844727,18.7800006866455,18.1200008392334,18.6800003051758,2989900,18.2317810058594
2017-01-26,18.6700000762939,18.8799991607666,18.3400001525879,18.3899993896484,2925100,17.9487380981445
2017-01-27,18.3500003814697,18.5499992370605,17.9799995422363,18.2800006866455,1921400,17.8413791656494
2017-01-30,18.2199993133545,18.25,17.6700000762939,17.7099990844727,1789000,17.2850551605225
2017-01-31,17.7000007629395,18.0699996948242,17.3500003814697,18,2358500,17.5680961608887
2017-02-01,18.0100002288818,18.5699996948242,18.0100002288818,18.2299995422363,2465500,17.7925758361816
2017-02-02,18.2299995422363,18.3600006103516,17.8400001525879,17.8400001525879,1438700,17.4119338989258
2017-02-03,17.9500007629395,18.1000003814697,17.8600006103516,17.9599990844727,1412200,17.5290565490723
2017-02-06,18.0400009155273,18.1700000762939,17.6100006103516,17.7700004577637,1595600,17.3436126708984
2017-02-07,17.7099990844727,18.1299991607666,17.7099990844727,18.0100002288818,1258600,17.5778579711914
2017-02-08,18.0499992370605,18.1000003814697,17.2299995422363,17.4699993133545,3279800,17.0508098602295
2017-02-09,17.4699993133545,17.8400001525879,17.3799991607666,17.7800006866455,1955000,17.3533763885498
2017-02-10,17.6200008392334,18.2800006866455,17.5799999237061,18.1200008392334,2017700,17.6852169036865
2017-02-13,18.3199996948242,18.6000003814697,18.2399997711182,18.3500003814697,1534300,17.9096965789795
