"Date","LWSA3.SA.Open","LWSA3.SA.High","LWSA3.SA.Low","LWSA3.SA.Close","LWSA3.SA.Volume","LWSA3.SA.Adjusted"
2020-02-06,4.94999980926514,5.44250011444092,4.92000007629395,5.15000009536743,86956800,5.008056640625
2020-02-07,5.125,5.5,5.05749988555908,5.07499980926514,12471600,4.93512439727783
2020-02-10,5.15000009536743,5.15000009536743,4.84999990463257,5.05000019073486,12146800,4.910813331604
2020-02-11,5.08750009536743,5.12249994277954,4.875,5.05000019073486,13196000,4.910813331604
2020-02-12,5.09250020980835,5.48000001907349,5.07499980926514,5.48000001907349,9556000,5.32896184921265
2020-02-13,5.32999992370605,5.66249990463257,5.2350001335144,5.5,4396800,5.34841012954712
2020-02-14,5.50250005722046,5.76749992370605,5.5,5.59999990463257,4862400,5.44565439224243
2020-02-17,5.65250015258789,5.90500020980835,5.65250015258789,5.82499980926514,2898000,5.66445255279541
2020-02-18,5.82499980926514,6.05000019073486,5.77500009536743,5.90000009536743,3286400,5.73738574981689
2020-02-19,5.94000005722046,6.01000022888184,5.67500019073486,6,6237200,5.83462953567505
2020-02-20,6.08750009536743,6.41249990463257,5.84749984741211,6.375,1832400,6.19929361343384
2020-02-21,6.22499990463257,6.33249998092651,6.04500007629395,6.15000009536743,6730800,5.98049545288086
2020-02-26,5.75,5.9225001335144,5.26249980926514,5.47499990463257,7857200,5.32409954071045
2020-02-27,5.38250017166138,5.38250017166138,5.0149998664856,5.20499992370605,6326000,5.06154108047485
2020-02-28,5.14750003814697,5.36749982833862,4.94999980926514,5.32499980926514,5031600,5.17823362350464
2020-03-02,5.24749994277954,6,5.21250009536743,6,2798000,5.83462953567505
2020-03-03,6.01749992370605,6.25,5.66499996185303,6.12249994277954,3279200,5.95375299453735
2020-03-04,6.28249979019165,6.36250019073486,5.66249990463257,6.0475001335144,7484000,5.88082027435303
2020-03-05,5.94999980926514,5.94999980926514,5.46750020980835,5.5,3642800,5.34841012954712
2020-03-06,5.21250009536743,5.21250009536743,4.90999984741211,4.97499990463257,8596800,4.83788013458252
2020-03-09,4.15000009536743,4.71999979019165,4.15000009536743,4.375,4211200,4.25441741943359
2020-03-10,4.75,4.94999980926514,4.53000020980835,4.75,2349600,4.61908149719238
2020-03-11,4.72499990463257,4.8125,4.38000011444092,4.8125,2027600,4.67985868453979
2020-03-12,4.14750003814697,4.625,3.67499995231628,4.02250003814697,1163200,3.91163277626038
2020-03-13,4.91249990463257,4.91249990463257,3.91249990463257,4.38500022888184,6545600,4.26414203643799
2020-03-16,3.78999996185303,3.83750009536743,3.4375,3.77500009536743,21936000,3.67095446586609
2020-03-17,3.98499989509583,3.98499989509583,3.65249991416931,3.75,1926800,3.64664340019226
2020-03-18,3.38000011444092,3.5,2.78749990463257,3,4954400,2.91731476783752
2020-03-19,3,3.20000004768372,2.71749997138977,3.02749991416931,8774400,2.94405674934387
2020-03-20,3.17499995231628,3.36249995231628,2.875,2.90249991416931,2835200,2.82250213623047
2020-03-23,2.90499997138977,2.90499997138977,2.4300000667572,2.54999995231628,5378000,2.47971749305725
2020-03-24,2.82999992370605,3.29999995231628,2.65000009536743,3.29999995231628,3478000,3.20904636383057
2020-03-25,3.20499992370605,3.74749994277954,3.20499992370605,3.70250010490417,4454400,3.60045289993286
2020-03-26,3.74749994277954,4.14499998092651,3.66249990463257,4.08750009536743,1597600,3.97484135627747
2020-03-27,3.84999990463257,4.44750022888184,3.72000002861023,4.36250019073486,2057600,4.24226188659668
2020-03-30,4.36250019073486,4.59499979019165,4.1875,4.58750009536743,1450000,4.46106052398682
2020-03-31,4.58500003814697,4.58750009536743,4.42749977111816,4.5,1315600,4.37597227096558
