"Date","RECV3.SA.Open","RECV3.SA.High","RECV3.SA.Low","RECV3.SA.Close","RECV3.SA.Volume","RECV3.SA.Adjusted"
2021-05-05,14.1393308639526,16.3409557342529,14.0219097137451,15.2743911743164,10680015,12.2023143768311
2021-05-06,15.6462211608887,16.0963306427002,15.2743911743164,15.656005859375,1678691,12.5071773529053
2021-05-07,15.8027811050415,16.536657333374,15.1863260269165,16.243106842041,2348389,12.9761972427368
2021-05-10,16.4877319335938,16.536657333374,15.5190162658691,15.5385856628418,1054061,12.4133739471436
2021-05-11,15.3428859710693,15.8027811050415,14.8242807388306,15.8027811050415,1737863,12.6244325637817
2021-05-12,15.5972957611084,16.0180511474609,15.382025718689,15.5972957611084,360142,12.4602756500244
2021-05-13,15.4505214691162,15.5777263641357,15.0982608795166,15.4113807678223,616453,12.3117532730103
2021-05-14,15.4505214691162,15.8614912033081,15.0689058303833,15.656005859375,2456207,12.5071773529053
2021-05-17,15.6462211608887,15.9886960983276,15.3624563217163,15.9886960983276,1382217,12.7729558944702
2021-05-18,15.998480796814,16.243106842041,15.5777263641357,15.5777263641357,416453,12.4446430206299
2021-05-19,15.5385856628418,15.7538557052612,15.1863260269165,15.2646064758301,1259989,12.1944980621338
2021-05-20,15.3233156204224,15.4896612167358,14.8732061386108,15.4113807678223,367194,12.3117532730103
2021-05-21,15.3722410202026,15.4113807678223,15.2548208236694,15.3624563217163,263873,12.272668838501
2021-05-24,15.4113807678223,15.5679407119751,15.2156810760498,15.313530921936,327848,12.2335824966431
2021-05-25,15.2939605712891,15.4994459152222,15.2156810760498,15.2646064758301,209095,12.1944980621338
2021-05-26,15.333101272583,15.3918113708496,14.9710559844971,14.9808406829834,527541,11.9678039550781
2021-05-27,15.1276159286499,15.3918113708496,14.9319162368774,15.1765413284302,582626,12.1241464614868
2021-05-28,15.4015960693359,15.6168661117554,15.2254657745361,15.5092306137085,401021,12.3899230957031
2021-05-31,15.4994459152222,15.8027811050415,15.4015960693359,15.7538557052612,1178844,12.5853471755981
2021-06-01,15.8027811050415,15.9691257476807,15.7049312591553,15.9397706985474,723453,12.7338695526123
2021-06-02,15.8517055511475,16.0865459442139,15.6168661117554,15.929986000061,758098,12.7260513305664
2021-06-04,16.0963306427002,16.4290218353271,15.7245006561279,16.4290218353271,663362,13.1247186660767
2021-06-07,16.3116016387939,16.3898811340332,15.949556350708,16.0669765472412,421563,12.8354911804199
2021-06-08,16.2137508392334,16.2235355377197,15.7636413574219,15.8125658035278,201124,12.632248878479
2021-06-09,15.8712759017944,15.8908462524414,15.6364364624023,15.8223514556885,895043,12.6400661468506
2021-06-10,15.9006309509277,16.3507404327393,15.9006309509277,16.3507404327393,755032,13.062183380127
2021-06-11,16.3409557342529,16.5170879364014,16.0376205444336,16.3409557342529,1029023,13.0543661117554
2021-06-14,16.6345062255859,17.0846176147461,16.5757961273193,16.9280567169189,1571997,13.5233840942383
2021-06-15,17.0356922149658,18.0044078826904,17.0259075164795,17.6227912902832,1521511,14.07839012146
2021-06-16,18.0044078826904,18.3958072662354,17.7010726928711,18.13161277771,795196,14.4848766326904
2021-06-17,18.1707515716553,18.5621528625488,17.8087062835693,18.2979564666748,1181297,14.6177616119385
2021-06-18,18.2196769714355,18.4936561584473,17.9261264801025,18.1022567749023,725293,14.4614238739014
2021-06-21,18.121826171875,18.9241981506348,18.121826171875,18.8752727508545,722431,15.0789661407471
2021-06-22,18.8752727508545,19.0807571411133,18.4740867614746,18.5425815582275,808379,14.8131895065308
2021-06-23,18.6306476593018,18.8850574493408,18.0631160736084,18.5327968597412,380786,14.8053693771362
2021-06-24,18.6110763549805,19.8439884185791,18.4740867614746,19.4330177307129,1189881,15.5245351791382
2021-06-25,19.3743076324463,19.6482887268066,18.8361320495605,19.1688232421875,1139498,15.3134737014771
2021-06-28,19.1688232421875,19.4525871276855,18.6697864532471,18.8850574493408,353806,15.0867834091187
2021-06-29,18.8948421478271,19.4525871276855,18.8459186553955,19.2177486419678,861011,15.352560043335
2021-06-30,19.2177486419678,19.4232330322266,18.9633388519287,19.325382232666,1235053,15.4385452270508
2021-07-01,19.4330177307129,19.687427520752,18.9829082489014,19.1003284454346,1506897,15.2587575912476
2021-07-02,19.2177486419678,20.0005474090576,19.2079639434814,19.8048477172852,539192,15.8215780258179
2021-07-05,19.8342037200928,20.3528079986572,19.3743076324463,20.235387802124,1023300,16.16552734375
2021-07-06,20.206033706665,20.3332386016846,19.4819431304932,19.9222679138184,785589,15.9153823852539
2021-07-07,20.0592575073242,20.0886135101318,19.5797939300537,19.7657089233398,738476,15.7903127670288
2021-07-08,19.4428024291992,19.4428024291992,18.8361320495605,18.8361320495605,725906,15.0476989746094
2021-07-12,18.8361320495605,19.2373180389404,18.5915069580078,18.9926929473877,414716,15.1727685928345
2021-07-13,18.8459186553955,19.0220489501953,18.708927154541,18.7872085571289,384261,15.0086116790771
2021-07-14,18.9829082489014,19.2764587402344,18.6208610534668,18.8948421478271,285538,15.0946016311646
2021-07-15,18.8067779541016,18.8752727508545,18.1903228759766,18.1903228759766,341032,14.5317783355713
2021-07-16,18.2979564666748,18.4936561584473,17.9554824829102,18.4838714599609,402656,14.7662868499756
2021-07-19,18.3175277709961,18.3175277709961,17.446662902832,17.8772010803223,1093714,14.2816324234009
2021-07-20,17.6325778961182,18.1022567749023,17.4270915985107,18.1022567749023,633009,14.4614238739014
2021-07-21,18.2098922729492,18.6795711517334,17.8282775878906,18.6795711517334,438017,14.922625541687
2021-07-22,18.6697864532471,18.8752727508545,18.3958072662354,18.5915069580078,763719,14.8522729873657
2021-07-23,18.7969932556152,18.8850574493408,18.2196769714355,18.5915069580078,328666,14.8522729873657
2021-07-26,18.5915069580078,18.5915069580078,18.0631160736084,18.1609668731689,619212,14.5083265304565
2021-07-27,17.9456977844238,18.3370971679688,17.5347270965576,17.798921585083,693305,14.2190971374512
2021-07-28,17.7206420898438,18.0337619781494,17.2607479095459,17.4270915985107,639754,13.9220523834229
2021-07-29,17.4955863952637,18.0044078826904,17.4564476013184,17.8967723846436,701481,14.2972679138184
2021-07-30,17.8478469848633,17.9065570831299,17.3292427062988,17.50537109375,681450,13.9845886230469
2021-08-02,17.6815013885498,18.092472076416,17.4564476013184,17.8576316833496,816657,14.265998840332
2021-08-03,17.8087062835693,17.9065570831299,16.9769821166992,17.9065570831299,325804,14.3050851821899
2021-08-04,17.7499961853027,17.7499961853027,17.0063362121582,17.0063362121582,461215,13.5859203338623
2021-08-05,17.2118225097656,17.3194561004639,16.7225723266602,17.1237564086914,336228,13.6797246932983
2021-08-06,17.1139717102051,17.1139717102051,16.605152130127,16.6247215270996,360040,13.2810592651367
2021-08-09,16.4388065338135,16.8791313171387,16.2333202362061,16.8204212188721,302503,13.4373979568481
2021-08-10,16.6932163238525,17.2607479095459,16.4779472351074,17.2607479095459,560449,13.7891635894775
2021-08-11,17.0552616119385,17.838062286377,16.7910671234131,17.8087062835693,568012,14.2269134521484
2021-08-12,17.798921585083,17.8478469848633,17.3488121032715,17.6130065917969,855083,14.070574760437
2021-08-13,17.4955863952637,17.6032218933105,16.7910671234131,17.1237564086914,270107,13.6797246932983
2021-08-16,16.8497772216797,16.9867668151855,15.4015960693359,15.9104156494141,1578946,12.7104187011719
2021-08-17,15.8125658035278,15.8125658035278,14.4915914535522,15.2743911743164,2387633,12.2023143768311
2021-08-18,15.2743911743164,15.4505214691162,14.7362155914307,14.7362155914307,1234950,11.7723808288574
2021-08-19,14.4818058013916,15.5679407119751,14.1295461654663,15.2743911743164,794889,12.2023143768311
2021-08-20,15.0786905288696,15.4896612167358,14.8732061386108,14.8732061386108,298620,11.8818197250366
2021-08-23,15.03955078125,15.6853609085083,14.9417009353638,15.5581560134888,827388,12.4290075302124
2021-08-24,15.7049312591553,16.2528915405273,15.5972957611084,16.0474052429199,676341,12.8198566436768
2021-08-25,16.0376205444336,16.4877319335938,15.8321361541748,16.4192371368408,566274,13.1169033050537
